Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
Spider-Man 3,"$894,983,373","$336,530,303",37.6%,"$558,453,070",62.4%,2007
Ice Age: Dawn of the Dinosaurs,"$886,686,817","$196,573,705",22.2%,"$690,113,112",77.8%,2009
Spectre,"$880,681,519","$200,074,609",22.7%,"$680,606,910",77.3%,2015
Spider-Man: Homecoming,"$880,166,924","$334,201,140",38%,"$545,965,784",62%,2017
Harry Potter and the Chamber of Secrets,"$879,602,366","$262,450,136",29.8%,"$617,152,230",70.2%,2002
Ice Age: Continental Drift,"$877,244,782","$161,321,843",18.4%,"$715,922,939",81.6%,2012
The Secret Life of Pets,"$875,458,631","$368,384,330",42.1%,"$507,074,301",57.9%,2016
Batman v Superman: Dawn of Justice,"$873,637,528","$330,360,194",37.8%,"$543,277,334",62.2%,2016
Wolf Warrior 2,"$870,325,439","$2,721,100",0.3%,"$867,604,339",99.7%,2017
Star Wars: Episode III - Revenge of the Sith,"$868,390,560","$380,270,577",43.8%,"$488,119,983",56.2%,2005
The Hunger Games: Catching Fire,"$865,011,746","$424,668,047",49.1%,"$440,343,699",50.9%,2013
Guardians of the Galaxy Vol. 2,"$863,756,051","$389,813,101",45.1%,"$473,942,950",54.9%,2017
Inside Out,"$858,848,019","$356,921,711",41.6%,"$501,926,308",58.4%,2015
Venom,"$856,085,151","$213,515,506",24.9%,"$642,569,645",75.1%,2018
Thor: Ragnarok,"$853,983,911","$315,058,289",36.9%,"$538,925,622",63.1%,2017
Inception,"$836,836,967","$292,576,195",35%,"$544,260,772",65%,2010
Transformers: Revenge of the Fallen,"$836,303,693","$402,111,870",48.1%,"$434,191,823",51.9%,2009
The Twilight Saga: Breaking Dawn - Part 2,"$829,747,654","$292,324,737",35.2%,"$537,422,917",64.8%,2012
Spider-Man,"$825,025,036","$407,022,860",49.3%,"$418,002,176",50.7%,2002
Wonder Woman,"$822,824,522","$412,815,408",50.2%,"$410,009,114",49.8%,2017
"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%,2021
Independence Day,"$817,400,891","$306,169,268",37.5%,"$511,231,623",62.5%,1996
Fantastic Beasts and Where to Find Them,"$814,044,001","$234,037,575",28.8%,"$580,006,426",71.2%,2016
Shrek the Third,"$813,367,380","$322,719,944",39.7%,"$490,647,436",60.3%,2007
Coco,"$807,817,888","$210,460,015",26%,"$597,357,873",74%,2017
Jumanji: The Next Level,"$800,059,707","$320,314,960",40%,"$479,744,747",60%,2019
Harry Potter and the Prisoner of Azkaban,"$797,361,618","$249,975,996",31.4%,"$547,385,622",68.6%,2004
Pirates of the Caribbean: Dead Men Tell No Tales,"$794,881,442","$172,558,876",21.7%,"$622,322,566",78.3%,2017
E.T. the Extra-Terrestrial,"$792,910,554","$435,110,554",54.9%,"$357,800,000",45.1%,1982
Mission: Impossible - Fallout,"$791,657,398","$220,159,104",27.8%,"$571,498,294",72.2%,2018
2012,"$791,217,826","$166,112,167",21%,"$625,105,659",79%,2009
