Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
Sex and the City,"$418,765,519","$152,647,258",36.4%,"$266,118,261",63.6%,2008
The Captain,"$417,282,021","$706,572",0.2%,"$416,575,449",99.8%,2019
The Mummy,"$415,933,406","$155,385,488",37.4%,"$260,547,918",62.6%,1999
The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217","$104,386,950",25.1%,"$311,299,267",74.9%,2010
Jason Bourne,"$415,484,914","$162,434,410",39.1%,"$253,050,504",60.9%,2016
The Wolverine,"$414,828,246","$132,556,852",32%,"$282,271,394",68%,2013
Kingsman: The Secret Service,"$414,351,546","$128,261,724",31%,"$286,089,822",69%,2015
Night at the Museum: Battle of the Smithsonian,"$413,106,170","$177,243,721",42.9%,"$235,862,449",57.1%,2009
Batman,"$411,508,343","$251,348,343",61.1%,"$160,160,000",38.9%,1989
The Bodyguard,"$411,006,740","$122,006,740",29.7%,"$289,000,000",70.3%,1992
Pacific Rim,"$411,002,906","$101,802,906",24.8%,"$309,200,000",75.2%,2013
Kingsman: The Golden Circle,"$410,902,662","$100,234,838",24.4%,"$310,667,824",75.6%,2017
The Mummy,"$409,231,607","$80,227,895",19.6%,"$329,003,712",80.4%,2017
Ice Age: Collision Course,"$408,754,975","$64,063,008",15.7%,"$344,691,967",84.3%,2016
Twilight,"$408,430,415","$193,962,473",47.5%,"$214,467,942",52.5%,2008
Signs,"$408,247,917","$227,966,634",55.8%,"$180,281,283",44.2%,2002
X2: X-Men United,"$407,711,549","$214,949,694",52.7%,"$192,761,855",47.3%,2003
Alita: Battle Angel,"$404,980,543","$85,838,210",21.2%,"$319,142,333",78.8%,2019
The Mummy: Tomb of the Dragon Emperor,"$403,449,830","$102,491,776",25.4%,"$300,958,054",74.6%,2008
Prometheus,"$403,354,469","$126,477,084",31.4%,"$276,877,385",68.6%,2012
Gone with the Wind,"$402,352,579","$200,852,579",49.9%,"$201,500,000",50.1%,1939
Mamma Mia! Here We Go Again,"$402,254,384","$120,634,935",30%,"$281,619,449",70%,2018
TRON: Legacy,"$400,063,852","$172,062,763",43%,"$228,001,089",57%,2010
Mission: Impossible III,"$398,479,497","$134,029,801",33.6%,"$264,449,696",66.4%,2006
Snow White and the Huntsman,"$396,592,829","$155,332,381",39.2%,"$241,260,448",60.8%,2012
Grease,"$396,271,103","$190,071,103",48%,"$206,200,000",52%,1978
Toy Story,"$394,436,586","$223,225,679",56.6%,"$171,210,907",43.4%,1995
Solo: A Star Wars Story,"$392,924,807","$213,767,512",54.4%,"$179,157,295",45.6%,2018
The Wolf of Wall Street,"$392,000,694","$116,900,694",29.8%,"$275,100,000",70.2%,2013
Superman Returns,"$391,081,192","$200,081,192",51.2%,"$191,000,000",48.8%,2006
Robin Hood: Prince of Thieves,"$390,493,908","$165,493,908",42.4%,"$225,000,000",57.6%,1991
Indiana Jones and the Raiders of the Lost Ark,"$389,925,971","$248,159,971",63.6%,"$141,766,000",36.4%,1981
Independence Day: Resurgence,"$389,681,935","$103,144,286",26.5%,"$286,537,649",73.5%,2016
Live Free or Die Hard,"$388,156,011","$134,529,403",34.7%,"$253,626,608",65.3%,2007
Monster Hunt,"$387,053,506","$32,766",<0.1%,"$387,020,740",100%,2015
Godzilla: King of the Monsters,"$386,600,138","$110,500,138",28.6%,"$276,100,000",71.4%,2019
Home,"$386,041,607","$177,397,510",46%,"$208,644,097",54%,2015
Star Trek,"$385,680,446","$257,730,019",66.8%,"$127,950,427",33.2%,2009
1917,"$384,929,181","$159,227,644",41.4%,"$225,701,537",58.6%,2019
Happy Feet,"$384,336,108","$198,000,317",51.5%,"$186,335,791",48.5%,2006
Cars 3,"$383,930,656","$152,901,115",39.8%,"$231,029,541",60.2%,2017
Ice Age,"$383,257,136","$176,387,405",46%,"$206,869,731",54%,2002
Back to the Future,"$381,906,762","$211,406,762",55.4%,"$170,500,000",44.6%,1985
Fifty Shades Darker,"$381,545,846","$114,581,250",30%,"$266,964,596",70%,2017
Monsters vs. Aliens,"$381,509,870","$198,351,526",52%,"$183,158,344",48%,2009
Black Widow,"$379,631,351","$183,651,655",48.4%,"$195,979,696",51.6%,2021
Godzilla,"$379,014,294","$136,314,294",36%,"$242,700,000",64%,1998
True Lies,"$378,882,411","$146,282,411",38.6%,"$232,600,000",61.4%,1994
Slumdog Millionaire,"$378,410,542","$141,319,928",37.4%,"$237,090,614",62.6%,2008
Taken 2,"$376,152,455","$139,854,287",37.2%,"$236,298,168",62.8%,2012
G.I. Joe: Retaliation,"$375,740,705","$122,523,060",32.6%,"$253,217,645",67.4%,2013
Mad Max: Fury Road,"$375,658,750","$154,058,340",41%,"$221,600,410",59%,2015
Spider-Man: Into the Spider-Verse,"$375,540,831","$190,241,310",50.7%,"$185,299,521",49.3%,2018
Shark Tale,"$374,583,879","$160,861,908",42.9%,"$213,721,971",57.1%,2004
Once Upon a Time... In Hollywood,"$374,565,754","$142,502,728",38%,"$232,063,026",62%,2019
What Women Want,"$374,111,707","$182,811,707",48.9%,"$191,300,000",51.1%,2000
The Adventures of Tintin,"$373,993,951","$77,591,831",20.8%,"$296,402,120",79.2%,2011
Batman Begins,"$373,661,946","$206,852,432",55.4%,"$166,809,514",44.6%,2005
Dune,"$373,652,085","$102,152,085",27.3%,"$271,500,000",72.7%,2021
Penguins of Madagascar,"$373,515,621","$83,850,911",22.4%,"$289,664,710",77.6%,2014
X-Men Origins: Wolverine,"$373,062,864","$179,883,157",48.2%,"$193,179,707",51.8%,2009
The Golden Compass,"$372,234,864","$70,107,728",18.8%,"$302,127,136",81.2%,2007
Fifty Shades Freed,"$371,987,838","$100,407,760",27%,"$271,580,078",73%,2018
Hitch,"$371,594,210","$179,495,555",48.3%,"$192,098,655",51.7%,2005
Terminator Salvation,"$371,353,001","$125,322,469",33.8%,"$246,030,532",66.2%,2009
Captain America: The First Avenger,"$370,569,774","$176,654,505",47.7%,"$193,915,269",52.3%,2011
Edge of Tomorrow,"$370,541,256","$100,206,256",27%,"$270,335,000",73%,2014
There's Something About Mary,"$369,884,651","$176,484,651",47.7%,"$193,400,000",52.3%,1998
Gone Girl,"$369,330,363","$167,767,189",45.4%,"$201,563,174",54.6%,2014
The Fugitive,"$368,875,760","$183,875,760",49.8%,"$185,000,000",50.2%,1993
Jurassic Park III,"$368,780,809","$181,171,875",49.1%,"$187,608,934",50.9%,2001
My Big Fat Greek Wedding,"$368,744,044","$241,438,208",65.5%,"$127,305,836",34.5%,2002
Eternals,"$368,536,150","$150,736,150",40.9%,"$217,800,000",59.1%,2021
Hello Mr. Billionaire,"$366,961,907",-,-,"$366,961,907",100%,2018
Die Hard with a Vengeance,"$366,101,666","$100,012,499",27.3%,"$266,089,167",72.7%,1995
Shazam!,"$365,971,656","$140,371,656",38.4%,"$225,600,000",61.6%,2019
The Nun,"$365,551,694","$117,450,119",32.1%,"$248,101,575",67.9%,2018
Alvin and the Chipmunks,"$365,352,546","$217,326,974",59.5%,"$148,025,572",40.5%,2007
Notting Hill,"$363,889,678","$116,089,678",31.9%,"$247,800,000",68.1%,1999
Tenet,"$363,656,624","$58,456,624",16.1%,"$305,200,000",83.9%,2020
A Bug's Life,"$363,258,859","$162,798,565",44.8%,"$200,460,294",55.2%,1998
Night at the Museum: Secret of the Tomb,"$363,204,635","$113,746,621",31.3%,"$249,458,014",68.7%,2014
Ocean's Twelve,"$362,744,280","$125,544,280",34.6%,"$237,200,000",65.4%,2004
Planet of the Apes,"$362,211,740","$180,011,740",49.7%,"$182,200,000",50.3%,2001
The Hangover Part III,"$362,000,072","$112,200,072",31%,"$249,800,000",69%,2013
The World Is Not Enough,"$361,832,400","$126,943,684",35.1%,"$234,888,716",64.9%,1999
Monster Hunt 2,"$361,682,618","$706,153",0.2%,"$360,976,465",99.8%,2018
Fast & Furious,"$360,366,870","$155,064,265",43%,"$205,302,605",57%,2009
Noah,"$359,200,044","$101,200,044",28.2%,"$258,000,000",71.8%,2014
The Karate Kid,"$359,126,022","$176,591,618",49.2%,"$182,534,404",50.8%,2010
Home Alone 2: Lost in New York,"$358,994,850","$173,585,516",48.4%,"$185,409,334",51.6%,1992
Hotel Transylvania,"$358,375,603","$148,313,048",41.4%,"$210,062,555",58.6%,2012
Minority Report,"$358,372,926","$132,072,926",36.8%,"$226,300,000",63.2%,2002
Your Name.,"$358,180,115","$5,017,246",1.4%,"$353,162,869",98.6%,2016
Top Gun,"$357,288,178","$180,258,178",50.4%,"$177,030,000",49.6%,1986
The Legend of Tarzan,"$356,700,357","$126,643,061",35.5%,"$230,057,296",64.5%,2016
American Beauty,"$356,296,601","$130,096,601",36.5%,"$226,200,000",63.5%,1999
Spirited Away,"$355,705,804","$13,750,644",3.9%,"$341,955,160",96.1%,2001
Apollo 13,"$355,237,933","$173,837,933",48.9%,"$181,400,000",51.1%,1995
Rain Man,"$354,825,435","$172,825,435",48.7%,"$182,000,000",51.3%,1988
The Great Gatsby,"$353,642,274","$144,840,419",41%,"$208,801,855",59%,2013
Dumbo,"$353,284,621","$114,766,307",32.5%,"$238,518,314",67.5%,2019
"I, Robot","$353,133,898","$144,801,023",41%,"$208,332,875",59%,2004
Basic Instinct,"$352,927,224","$117,727,224",33.4%,"$235,200,000",66.6%,1992
Murder on the Orient Express,"$352,794,081","$102,826,543",29.2%,"$249,967,538",70.8%,2017
X-Men: First Class,"$352,616,690","$146,408,305",41.5%,"$206,208,385",58.5%,2011
The Angry Birds Movie,"$352,333,929","$107,509,366",30.5%,"$244,824,563",69.5%,2016
GoldenEye,"$352,194,034","$106,429,941",30.2%,"$245,764,093",69.8%,1995
Catch Me If You Can,"$352,114,312","$164,615,351",46.8%,"$187,498,961",53.2%,2002
Now You See Me,"$351,723,989","$117,723,989",33.5%,"$234,000,000",66.5%,2013
Hannibal,"$351,692,268","$165,092,268",46.9%,"$186,600,000",53.1%,2001
The Mask,"$351,583,407","$119,938,730",34.1%,"$231,644,677",65.9%,1994
Peter Rabbit,"$351,496,066","$115,253,424",32.8%,"$236,242,642",67.2%,2018
Speed,"$350,448,145","$121,248,145",34.6%,"$229,200,000",65.4%,1994
Dinosaur,"$349,822,765","$137,748,063",39.4%,"$212,074,702",60.6%,2000
Mary Poppins Returns,"$349,546,142","$171,958,438",49.2%,"$177,587,704",50.8%,2018
Deep Impact,"$349,464,664","$140,464,664",40.2%,"$209,000,000",59.8%,1998
The Lorax,"$348,840,316","$214,030,500",61.4%,"$134,809,816",38.6%,2012
The Maze Runner,"$348,319,861","$102,427,862",29.4%,"$245,891,999",70.6%,2014
The Smurfs 2,"$347,545,360","$71,017,784",20.4%,"$276,527,576",79.6%,2013
National Treasure,"$347,512,318","$173,008,894",49.8%,"$174,503,424",50.2%,2004
Rush Hour 2,"$347,325,802","$226,164,286",65.1%,"$121,161,516",34.9%,2001
Trolls,"$346,864,886","$153,707,064",44.3%,"$193,157,822",55.7%,2016
xXx: Return of Xander Cage,"$346,118,277","$44,898,413",13%,"$301,219,864",87%,2017
Pocahontas,"$346,079,773","$141,579,773",40.9%,"$204,500,000",59.1%,1995
How the Grinch Stole Christmas,"$345,573,032","$260,465,005",75.4%,"$85,108,027",24.6%,2000
Star Trek Beyond,"$343,471,816","$158,848,340",46.2%,"$184,623,476",53.8%,2016
Alvin and the Chipmunks: Chipwrecked,"$342,695,435","$133,110,742",38.8%,"$209,584,693",61.2%,2011
Wanted,"$342,463,063","$134,508,551",39.3%,"$207,954,512",60.7%,2008
The Flintstones,"$341,631,208","$130,531,208",38.2%,"$211,100,000",61.8%,1994
A Quiet Place,"$340,952,971","$188,024,361",55.2%,"$152,928,610",44.8%,2018
Enchanted,"$340,487,836","$127,807,262",37.5%,"$212,680,574",62.5%,2007
Over the Hedge,"$339,795,890","$155,019,340",45.6%,"$184,776,550",54.4%,2006
300: Rise of an Empire,"$337,580,051","$106,580,051",31.6%,"$231,000,000",68.4%,2014
Batman Forever,"$336,567,158","$184,069,126",54.7%,"$152,498,032",45.3%,1995
Prince of Persia: The Sands of Time,"$336,365,676","$90,759,676",27%,"$245,606,000",73%,2009
The Curious Case of Benjamin Button,"$335,802,786","$127,509,326",38%,"$208,293,460",62%,2008
Journey 2: The Mysterious Island,"$335,260,290","$103,860,290",31%,"$231,400,000",69%,2012
The Rock,"$335,062,621","$134,069,511",40%,"$200,993,110",60%,1996
The Great Wall,"$334,933,831","$45,540,830",13.6%,"$289,393,001",86.4%,2016
Now You See Me 2,"$334,897,606","$65,075,540",19.4%,"$269,822,066",80.6%,2016
Never Say Die,"$334,530,869",-,-,"$334,530,869",100%,2017
Fantastic Four,"$333,535,934","$154,696,080",46.4%,"$178,839,854",53.6%,2005
Indiana Jones and the Temple of Doom,"$333,107,271","$179,870,271",54%,"$153,237,000",46%,1984
Tomorrow Never Dies,"$333,011,068","$125,304,276",37.6%,"$207,706,792",62.4%,1997
Back to the Future Part II,"$332,500,002","$119,000,002",35.8%,"$213,500,000",64.2%,1989
The Good Dinosaur,"$332,207,671","$123,087,120",37%,"$209,120,551",63%,2015
Free Guy,"$331,481,002","$121,623,717",36.7%,"$209,857,285",63.3%,2021
22 Jump Street,"$331,333,876","$191,719,337",57.9%,"$139,614,539",42.1%,2014
Meet the Parents,"$330,444,045","$166,244,045",50.3%,"$164,200,000",49.7%,2000
Who Framed Roger Rabbit,"$329,803,958","$156,452,370",47.4%,"$173,351,588",52.6%,1988
Black Swan,"$329,398,046","$106,954,678",32.5%,"$222,443,368",67.5%,2010
The Perfect Storm,"$328,718,434","$182,618,434",55.6%,"$146,100,000",44.4%,2000
Crocodile Dundee,"$328,203,506","$174,803,506",53.3%,"$153,400,000",46.7%,1986
Crazy Alien,"$327,598,891",-,-,"$327,598,891",100%,2019
Se7en,"$327,333,559","$100,125,643",30.6%,"$227,207,916",69.4%,1995
John Wick: Chapter 3 - Parabellum,"$327,281,779","$171,015,687",52.2%,"$156,266,092",47.8%,2019
The Devil Wears Prada,"$326,706,115","$124,740,460",38.2%,"$201,965,655",61.8%,2006
Taken 3,"$326,479,141","$89,256,424",27.3%,"$237,222,717",72.7%,2015
The Hunchback of Notre Dame,"$325,338,851","$100,138,851",30.8%,"$225,200,000",69.2%,1996
A Christmas Carol,"$325,286,646","$137,855,863",42.4%,"$187,430,783",57.6%,2009
The SpongeBob Movie: Sponge Out of Water,"$325,186,032","$162,994,032",50.1%,"$162,192,000",49.9%,2015
Schindler's List,"$322,161,245","$96,898,818",30.1%,"$225,262,427",69.9%,1993
Megamind,"$321,885,765","$148,415,853",46.1%,"$173,469,912",53.9%,2010
The Conjuring 2,"$321,788,219","$102,470,008",31.8%,"$219,318,211",68.2%,2016
Green Book,"$321,752,656","$85,080,171",26.4%,"$236,672,485",73.6%,2018
Lethal Weapon 3,"$321,731,527","$144,731,527",45%,"$177,000,000",55%,1992
The Ugly Truth,"$321,682,600","$88,915,214",27.6%,"$232,767,386",72.4%,2009
Robin Hood,"$321,669,741","$105,269,730",32.7%,"$216,400,011",67.3%,2010
Inglourious Basterds,"$321,457,747","$120,540,719",37.5%,"$200,917,028",62.5%,2009
101 Dalmatians,"$320,689,294","$136,189,294",42.5%,"$184,500,000",57.5%,1996
The Conjuring,"$320,290,989","$137,400,141",42.9%,"$182,890,848",57.1%,2013
Fatal Attraction,"$320,145,693","$156,645,693",48.9%,"$163,500,000",51.1%,1987
Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%,2020
The Last Airbender,"$319,713,881","$131,772,187",41.2%,"$187,941,694",58.8%,2010
The Proposal,"$317,375,031","$163,958,031",51.7%,"$153,417,000",48.3%,2009
A Beautiful Mind,"$316,791,257","$170,742,341",53.9%,"$146,048,916",46.1%,2001
Beverly Hills Cop,"$316,360,478","$234,760,478",74.2%,"$81,600,000",25.8%,1984
Air Force One,"$315,156,409","$172,956,409",54.9%,"$142,200,000",45.1%,1997
The Expendables 2,"$314,975,955","$85,028,192",27%,"$229,947,763",73%,2012
Chicken Little,"$314,432,837","$135,386,665",43.1%,"$179,046,172",56.9%,2005
The Polar Express,"$314,215,454","$187,935,490",59.8%,"$126,279,964",40.2%,2004
As Good as It Gets,"$314,178,011","$148,478,011",47.3%,"$165,700,000",52.7%,1997
Maze Runner: The Scorch Trials,"$312,296,056","$81,697,192",26.2%,"$230,598,864",73.8%,2015
Resident Evil: The Final Chapter,"$312,242,626","$26,830,068",8.6%,"$285,412,558",91.4%,2016
Austin Powers: The Spy Who Shagged Me,"$312,016,928","$206,040,086",66%,"$105,976,842",34%,1999
The Lego Batman Movie,"$311,950,384","$175,750,384",56.3%,"$136,200,000",43.7%,2017
Knives Out,"$311,605,581","$165,363,234",53.1%,"$146,242,347",46.9%,2019
Ocean's Thirteen,"$311,312,624","$117,154,724",37.6%,"$194,157,900",62.4%,2007
Little Fockers,"$310,650,585","$148,438,600",47.8%,"$162,211,985",52.2%,2010
Bolt,"$309,979,994","$114,053,579",36.8%,"$195,926,415",63.2%,2008
Ransom,"$309,492,681","$136,492,681",44.1%,"$173,000,000",55.9%,1996
Runaway Bride,"$309,460,292","$152,257,509",49.2%,"$157,202,783",50.8%,1999
The Blind Side,"$309,208,309","$255,959,475",82.8%,"$53,248,834",17.2%,2009
The Ex-File 3: The Return of The Exes,"$307,592,427","$838,959",0.3%,"$306,753,468",99.7%,2017
The Fault in Our Stars,"$307,166,834","$124,872,350",40.6%,"$182,294,484",59.4%,2014
The Pursuit of Happyness,"$307,127,625","$163,566,459",53.3%,"$143,561,166",46.7%,2006
Rise of the Guardians,"$306,941,670","$103,412,758",33.7%,"$203,528,912",66.3%,2012
Close Encounters of the Third Kind,"$306,889,114","$135,189,114",44%,"$171,700,000",56%,1977
Chicago,"$306,776,732","$170,687,518",55.6%,"$136,089,214",44.4%,2002
Annabelle: Creation,"$306,515,884","$102,092,201",33.3%,"$204,423,683",66.7%,2017
Wonder,"$306,209,289","$132,422,809",43.2%,"$173,786,480",56.8%,2017
Skyscraper,"$304,868,961","$68,420,120",22.4%,"$236,448,841",77.6%,2018
A Good Day to Die Hard,"$304,654,182","$67,349,198",22.1%,"$237,304,984",77.9%,2013
Mulan,"$304,320,254","$120,620,254",39.6%,"$183,700,000",60.4%,1998
Dangal,"$303,723,636","$12,391,761",4.1%,"$291,331,875",95.9%,2016
Passengers,"$303,144,152","$100,014,699",33%,"$203,129,453",67%,2016
Battleship,"$303,025,485","$65,422,625",21.6%,"$237,602,860",78.4%,2012
Liar Liar,"$302,710,615","$181,410,615",59.9%,"$121,300,000",40.1%,1997
G.I. Joe: The Rise of Cobra,"$302,469,017","$150,201,498",49.7%,"$152,267,519",50.3%,2009
Wrath of the Titans,"$301,970,083","$83,670,083",27.7%,"$218,300,000",72.3%,2012
Fantastic 4: Rise of the Silver Surfer,"$301,913,131","$131,921,738",43.7%,"$169,991,393",56.3%,2007
Hook,"$300,854,823","$119,654,823",39.8%,"$181,200,000",60.2%,1991
Rocky IV,"$300,473,716","$127,873,716",42.6%,"$172,600,000",57.4%,1985
Superman,"$300,451,603","$134,451,603",44.8%,"$166,000,000",55.2%,1978
Rambo: First Blood Part II,"$300,400,432","$150,415,432",50.1%,"$149,985,000",49.9%,1985
Resident Evil: Afterlife,"$300,228,084","$60,128,566",20%,"$240,099,518",80%,2010
Van Helsing,"$300,157,638","$120,177,084",40%,"$179,980,554",60%,2004
Stuart Little,"$300,135,367","$140,035,367",46.7%,"$160,100,000",53.3%,1999
Beverly Hills Cop II,"$299,965,036","$153,665,036",51.2%,"$146,300,000",48.8%,1987
Alice Through the Looking Glass,"$299,820,798","$77,041,381",25.7%,"$222,779,417",74.3%,2016
My Best Friend's Wedding,"$299,288,605","$127,120,029",42.5%,"$172,168,576",57.5%,1997
Real Steel,"$299,268,508","$85,468,508",28.6%,"$213,800,000",71.4%,2011
Horton Hears a Who!,"$298,572,799","$154,529,439",51.8%,"$144,043,360",48.2%,2008
A Quiet Place Part II,"$297,770,224","$160,072,261",53.8%,"$137,697,963",46.2%,2021
Ocean's Eight,"$297,718,711","$140,218,711",47.1%,"$157,500,000",52.9%,2018
The Divergent Series: Insurgent,"$297,002,527","$130,179,072",43.8%,"$166,823,455",56.2%,2015
Look Who's Talking,"$296,999,813","$140,088,813",47.2%,"$156,911,000",52.8%,1989
Austin Powers in Goldmember,"$296,938,801","$213,307,889",71.8%,"$83,630,912",28.2%,2002
Ghostbusters,"$296,578,797","$243,578,797",82.1%,"$53,000,000",17.9%,1984
Miss Peregrine's Home for Peculiar Children,"$296,482,446","$87,242,834",29.4%,"$209,239,612",70.6%,2016
X-Men,"$296,339,528","$157,299,718",53.1%,"$139,039,810",46.9%,2000
Ferdinand,"$296,069,199","$84,410,380",28.5%,"$211,658,819",71.5%,2017
Shutter Island,"$294,805,697","$128,012,934",43.4%,"$166,792,763",56.6%,2010
Doctor Dolittle,"$294,456,605","$144,156,605",49%,"$150,300,000",51%,1998
Bee Movie,"$293,514,336","$126,631,277",43.1%,"$166,883,059",56.9%,2007
Salt,"$293,503,354","$118,311,368",40.3%,"$175,191,986",59.7%,2010
G-Force,"$292,817,898","$119,436,770",40.8%,"$173,381,128",59.2%,2009
The Departed,"$291,465,373","$132,384,315",45.4%,"$159,081,058",54.6%,2006
What Lies Beneath,"$291,420,351","$155,464,351",53.4%,"$135,956,000",46.6%,2000
Pacific Rim: Uprising,"$290,930,148","$59,874,525",20.6%,"$231,055,623",79.4%,2018
The Bourne Supremacy,"$290,835,269","$176,241,941",60.6%,"$114,593,328",39.4%,2004
Sex and the City 2,"$290,745,055","$95,347,692",32.8%,"$195,397,363",67.2%,2010
Shakespeare in Love,"$289,317,794","$100,317,794",34.7%,"$189,000,000",65.3%,1998
Divergent,"$288,885,818","$150,947,895",52.2%,"$137,937,923",47.8%,2014
Coming to America,"$288,752,301","$128,152,301",44.4%,"$160,600,000",55.6%,1988
Wedding Crashers,"$288,467,645","$209,255,921",72.5%,"$79,211,724",27.5%,2005
Bridesmaids,"$288,383,523","$169,106,725",58.6%,"$119,276,798",41.4%,2011
Maze Runner: The Death Cure,"$288,175,335","$58,032,443",20.1%,"$230,142,892",79.9%,2018
Casper,"$287,928,194","$100,328,194",34.8%,"$187,600,000",65.2%,1995
American Pie 2,"$287,553,595","$145,103,595",50.5%,"$142,450,000",49.5%,2001
Pitch Perfect 2,"$287,144,079","$184,296,230",64.2%,"$102,847,849",35.8%,2015
The Green Mile,"$286,801,374","$136,801,374",47.7%,"$150,000,000",52.3%,1999
Oblivion,"$286,168,572","$89,107,235",31.1%,"$197,061,337",68.9%,2013
Elysium,"$286,140,700","$93,050,117",32.5%,"$193,090,583",67.5%,2013
Lethal Weapon 4,"$285,444,603","$130,444,603",45.7%,"$155,000,000",54.3%,1998
John Carter,"$284,139,100","$73,078,100",25.7%,"$211,061,000",74.3%,2012
Turbo,"$282,570,682","$83,028,128",29.4%,"$199,542,554",70.6%,2013
Paddington,"$282,377,683","$76,271,832",27%,"$206,105,851",73%,2014
Bridget Jones's Diary,"$281,995,610","$71,543,427",25.4%,"$210,452,183",74.6%,2001
The Tourist,"$278,780,441","$67,631,157",24.3%,"$211,149,284",75.7%,2010
Split,"$278,454,417","$138,291,365",49.7%,"$140,163,052",50.3%,2017
Scary Movie,"$278,019,771","$157,019,771",56.5%,"$121,000,000",43.5%,2000
xXx,"$277,448,382","$142,109,382",51.2%,"$135,339,000",48.8%,2002
The Bourne Legacy,"$276,144,750","$113,203,870",41%,"$162,940,880",59%,2012
Mr. Peabody & Sherman,"$275,698,039","$111,506,430",40.4%,"$164,191,609",59.6%,2014
Scooby-Doo,"$275,650,703","$153,294,164",55.6%,"$122,356,539",44.4%,2002
Lincoln,"$275,293,450","$182,207,973",66.2%,"$93,085,477",33.8%,2012
Lara Croft: Tomb Raider,"$274,703,340","$131,168,070",47.8%,"$143,535,270",52.2%,2001
Tomb Raider,"$274,650,803","$58,250,803",21.2%,"$216,400,000",78.8%,2018
The Expendables,"$274,470,394","$103,068,524",37.6%,"$171,401,870",62.4%,2010
Cloudy with a Chance of Meatballs 2,"$274,325,949","$119,793,567",43.7%,"$154,532,382",56.3%,2013
The Nutty Professor,"$273,961,019","$128,814,019",47%,"$145,147,000",53%,1996
Jerry Maguire,"$273,552,592","$153,952,592",56.3%,"$119,600,000",43.7%,1996
Bad Boys II,"$273,339,556","$138,608,444",50.7%,"$134,731,112",49.3%,2003
Lilo & Stitch,"$273,144,151","$145,794,338",53.4%,"$127,349,813",46.6%,2002
The Silence of the Lambs,"$272,742,922","$130,742,922",47.9%,"$142,000,000",52.1%,1991
Grown Ups,"$271,457,301","$162,001,186",59.7%,"$109,456,115",40.3%,2010
Neighbors,"$270,665,134","$150,157,400",55.5%,"$120,507,734",44.5%,2014
The Firm,"$270,248,367","$158,348,367",58.6%,"$111,900,000",41.4%,1993
We're the Millers,"$269,994,119","$150,394,119",55.7%,"$119,600,000",44.3%,2012
Gran Torino,"$269,958,228","$148,095,302",54.9%,"$121,862,926",45.1%,2008
"10,000 BC","$269,784,201","$94,784,201",35.1%,"$175,000,000",64.9%,2008
American Gangster,"$269,755,430","$130,164,645",48.2%,"$139,590,785",51.8%,2007
Epic,"$268,426,634","$107,518,682",40.1%,"$160,907,952",59.9%,2013
Exodus: Gods and Kings,"$268,175,631","$65,014,513",24.2%,"$203,161,118",75.8%,2014
Bambi,"$267,447,150","$102,247,150",38.2%,"$165,200,000",61.8%,1942
The Princess and the Frog,"$267,045,765","$104,400,899",39.1%,"$162,644,866",60.9%,2009
Batman Returns,"$266,892,996","$162,902,340",61%,"$103,990,656",39%,1992
Indecent Proposal,"$266,614,059","$106,614,059",40%,"$160,000,000",60%,1993
Something's Gotta Give,"$265,328,738","$124,728,738",47%,"$140,600,000",53%,2003
Bridget Jones: The Edge of Reason,"$265,126,918","$40,226,215",15.2%,"$224,900,703",84.8%,2004
The Incredible Hulk,"$264,770,996","$134,806,913",50.9%,"$129,964,083",49.1%,2008
Waterworld,"$264,218,220","$88,246,220",33.4%,"$175,972,000",66.6%,1995
The Truman Show,"$264,118,201","$125,618,201",47.6%,"$138,500,000",52.4%,1998
Charlie's Angels,"$264,105,545","$125,305,545",47.4%,"$138,800,000",52.6%,2000
The Fifth Element,"$263,920,180","$63,820,180",24.2%,"$200,100,000",75.8%,1997
Jumanji,"$262,821,940","$100,499,940",38.2%,"$162,322,000",61.8%,1995
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"$262,552,893","$128,505,958",48.9%,"$134,046,935",51.1%,2006
Robots,"$262,511,490","$128,200,012",48.8%,"$134,311,478",51.2%,2005
Knight and Day,"$261,989,769","$76,423,035",29.2%,"$185,566,734",70.8%,2008
Total Recall,"$261,317,921","$119,412,921",45.7%,"$141,905,000",54.3%,1990
This Is It,"$261,183,588","$72,091,016",27.6%,"$189,092,572",72.4%,2009
Terminator: Dark Fate,"$261,119,292","$62,253,077",23.8%,"$198,866,215",76.2%,2019
The Lone Ranger,"$260,502,115","$89,302,115",34.3%,"$171,200,000",65.7%,2013
Super 8,"$260,095,986","$127,004,179",48.8%,"$133,091,807",51.2%,2011
Mojin: The Lost Legend,"$259,368,448","$1,243,810",0.5%,"$258,124,638",99.5%,2015
Blade Runner 2049,"$259,334,548","$92,054,159",35.5%,"$167,280,389",64.5%,2017
Charlie's Angels: Full Throttle,"$259,175,788","$100,830,111",38.9%,"$158,345,677",61.1%,2003
Parasite,"$258,668,626","$53,369,749",20.6%,"$205,298,877",79.4%,2019
Rush Hour 3,"$258,097,122","$140,125,968",54.3%,"$117,971,154",45.7%,2007
The Full Monty,"$257,938,649","$45,950,122",17.8%,"$211,988,527",82.2%,1997
