Title,Year,Google_Users,Google user ratings,movie description
World War Z,2013,"['89% liked this film', 'Google users']","['4.6', '1476 ratings']","['Description', 'Gerry, a former United Nations employee, unexpectedly finds himself in a race against time as he investigates a threatening virus that turns humans into zombies.']"
Brave,2012,"['87% liked this film', 'Google users']","['4.4', '993 ratings']","['Description', 'Merida, an independent archer, disobeys an ancient custom which unleashes a dark force. After meeting an elderly witch, as she journeys to reverse the curse, she discovers the real meaning of bravery.']"
Star Wars: Episode V - The Empire Strikes Back,1980,"['95% liked this film', 'Google users']","['4.8', '1903 ratings']","['Description', 'Darth Vader is adamant about turning Luke Skywalker to the dark side. Master Yoda trains Luke to become a Jedi Knight while his friends try to fend off the Imperial fleet.']"
The Simpsons Movie,2007,"['90% liked this film', 'Google users']","['4.7', '468 ratings']","['Description', 'Homer accidentally pollutes a lake of Springfield. When the town blames him for it, he decides to save the city and his family.']"
The Revenant,2015,"['88% liked this film', 'Google users']","['4.6', '1986 ratings']","['Description', 'Hugh Glass, a legendary frontiersman, is severely injured in a bear attack and is abandoned by his hunting crew. He uses his skills to survive and take revenge on his companion who betrayed him.']"
The Meg,2018,"['85% liked this film', 'Google users']","['4.0', '1835 ratings']","['Description', 'When the members of an underwater research facility are under threat owing to a 75-foot prehistoric shark, Jonas Taylor, a deep-sea diver, is hired to save them.']"
Ralph Breaks the Internet,2018,"['83% liked this film', 'Google users']","['3.9', '1115 ratings']","['Description', 'Ralph and his best friend, Vanellope, face various challenges as they visit the uncharted land of the Internet through a Wi-Fi router at the arcade to save the game, Sugar Rush.']"
Hotel Transylvania 3: Summer Vacation,2018,"['88% liked this film', 'Google users']","['4.2', '664 ratings']","['Description', 'Count Dracula feels lonely and depressed while running his hotel for monsters. To show him a good time, his family books a luxury vacation cruise exclusively for monsters.']"
The Boss Baby,2017,"['80% liked this film', 'Google users']","['4.3', '1536 ratings']","['Description', 'Seven-year-old Tim gets jealous when his parents give all their attention to his little brother. Tim soon learns that the baby can talk and the two team up to foil the plans of the CEO of Puppy Co.']"
Dunkirk,2017,"['86% liked this film', 'Google users']","['4.4', '3536 ratings']","['Description', 'During World War II, soldiers from the British Empire, Belgium and France try to evacuate from the town of Dunkirk during a arduous battle with German forces.']"
Godzilla,2014,"['81% liked this film', 'Google users']",[],"['Description', 'Ford and his father, Joe, find evidence pointing to the existence of giant creatures. When the creatures, classified as MUTO, surface, Godzilla, an ancient behemoth, rises to fight them.']"
How to Train Your Dragon: The Hidden World,2019,"['91% liked this film', 'Google users']","['4.7', '1538 ratings']","['Description', 'Hiccup aims to unite the vikings and the dragons in order to bring peace on the island of Berk. However, he must stop the evil Grimmel and his devious plans to wipe out all dragons.']"
Sherlock Holmes,2009,"['86% liked this film', 'Google users']","['4.7', '1060 ratings']","['Description', 'Detective Sherlock Holmes and his partner, Dr Watson, send Blackwood, a serial killer, to the gallows. However, they are shocked to learn that he is back from the dead and must pursue him again.']"
Meet the Fockers,2004,"['86% liked this film', 'Google users']","['4.1', '108 ratings']","['Description', ""Greg Focker and his fiancee Pam decide to make their respective parents meet before their wedding. However, the Fockers' relaxed attitude does not go down well with Pam's family.""]"
WALL·E,2008,"['94% liked this film', 'Google users']","['4.8', '2631 ratings']","['Description', 'A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.']"
Kung Fu Panda 3,2016,"['88% liked this film', 'Google users']","['4.6', '674 ratings']","['Description', 'The Dragon Warrior, Po, has to deal with challenges galore when circumstances compel him to train a bunch of awkward pandas in martial arts so that they can trounce Kai, a wicked supernatural warrior.']"
Terminator 2: Judgment Day,1991,"['95% liked this film', 'Google users']","['4.9', '1283 ratings']","['Description', ""A terminator is sent on a mission to kill Sarah's son, John Connor. However, another cyborg, who was once after Sarah's life, has now been assigned to protect him.""]"
Ant-Man,2015,"['89% liked this film', 'Google users']","['4.5', '889 ratings']","['Description', 'Scott, a master thief, gains the ability to shrink in scale with the help of a futuristic suit. Now he must rise to the occasion of his superhero status and protect his secret from unsavoury elements.']"
The Grinch,2018,"['84% liked this film', 'Google users']","['3.9', '1102 ratings']","['Description', 'The Grinch grows increasingly annoyed with the ever-growing festive cheer that engulfs the village of Whoville. So, he teams up with his dog to ruin the festive spirit by being a spoilsport.']"
Ghost,1990,"['84% liked this film', 'Google users']","['4.6', '633 ratings']","['Description', ""Sam and Molly love each other, but their romance is short-lived when Sam is killed by a thug. Unable to tell Molly that her life is in danger, Sam's spirit takes a psychic's help in order to save her.""]"
Aladdin,1992,"['90% liked this film', 'Google users']","['4.6', '475 ratings']","['Description', ""Aladdin, a common thief, falls in love with Princess Jasmine, but cannot marry her as he is not a prince. Jafar, a royal vizier with a hidden agenda, enlists Aladdin's help to retrieve a magical lamp.""]"
Rio 2,2014,"['87% liked this film', 'Google users']","['4.5', '384 ratings']","['Description', 'After moving out of Rio de Janeiro, Blu, Jewel and their children try to cope with the new surroundings in the Amazon. But Blu encounters the revengeful Nigel who further complicates the situation.']"
Troy,2004,"['90% liked this film', 'Google users']","['4.4', '1130 ratings']","['Description', ""After Paris, a Trojan prince, has an affair with Menelaus's wife, Helen, he decides to take her with him. Later, Menelaus's brother uses that as an excuse to wage a war against the city of Troy.""]"
Toy Story 2,1999,"['93% liked this film', 'Google users']","['4.5', '564 ratings']","['Description', 'When Woody is kidnapped by a greedy toy collector and is nowhere to be found, Buzz and his friends set out to rescue him. However, Woody gets tempted by the idea of becoming immortal in a museum.']"
How to Train Your Dragon,2010,"['90% liked this film', 'Google users']","['4.8', '1947 ratings']","['Description', 'Hiccup, a Viking, must kill a dragon to mark his passage into manhood and be initiated into his tribe. However, he ends up doing the exact opposite by befriending a deadly dragon, Night Fury.']"
Twister,1996,"['87% liked this film', 'Google users']","['4.4', '314 ratings']","['Description', 'Ben, a storm chaser, and Jo, a meteorologist, have to put their impending divorce on hold to battle a series of violent tornadoes that are destroying Oklahoma.']"
Oz the Great and Powerful,2013,"['76% liked this film', 'Google users']","['4.3', '316 ratings']","['Description', 'Oscar Diggs escapes from the circus he works for and lands in the Land of Oz where he meets a witch, Theodora. She assumes that he is a wizard who has been hired to kill her competitor.']"
Clash of the Titans,2010,"['76% liked this film', 'Google users']","['4.1', '469 ratings']","['Description', 'Perseus, a demigod and son of Zeus, embarks on an adventure as he sets out to thwart Hades, who threatens to release the monstrous Kraken on Earth if his demands are not met.']"
Maleficent: Mistress of Evil,2019,"['90% liked this film', 'Google users']","['4.4', '2359 ratings']","['Description', 'Maleficent alienates herself from Aurora when she opposes her engagement with Prince Phillip. Unknown to them, an enemy lurks, waiting to capitalise on their discord and destroy all that they love.']"
War for the Planet of the Apes,2017,"['85% liked this film', 'Google users']","['4.7', '555 ratings']","['Description', ""When a rogue army of humans kills Caesar's wife and son, he sets out to exact revenge. But his quest for retribution reveals his darker instincts even as he makes a startling discovery.""]"
Shrek,2001,"['87% liked this film', 'Google users']","['4.8', '4731 ratings']","['Description', 'Shrek, an ogre, embarks on a journey with a donkey to rescue Princess Fiona from a vile lord and regain his swamp.']"
Mr. & Mrs. Smith,2005,"['86% liked this film', 'Google users']","['4.5', '546 ratings']","['Description', 'A husband and wife struggle to keep their marriage alive until they realise they are both secretly working as assassins. Now, their respective assignments require them to kill each other.']"
Angels & Demons,2009,"['86% liked this film', 'Google users']","['4.3', '446 ratings']","['Description', 'Robert, a symbologist, tries his best to stop a secret society from destroying Vatican City. He seeks to decipher various clues in the process, most of which lead him to the four altars of science.']"
Teenage Mutant Ninja Turtles,2014,"['77% liked this film', 'Google users']","['4.2', '414 ratings']","['Description', 'When Shredder and his evil Foot Clan wreak havoc in New York, four genetically mutated turtles rise from the sewers to free the city from his control.']"
Bruce Almighty,2003,"['92% liked this film', 'Google users']","['4.6', '334 ratings']","['Description', 'A furious TV reporter demands an explanation from God for the injustice done to him. The Almighty gives him the power to run the world for a while, to teach him how difficult it is.']"
Rio,2011,"['89% liked this film', 'Google users']","['4.7', '892 ratings']","['Description', 'Captured by smugglers when he was just a hatchling, a macaw named Blu (Jesse Eisenberg) never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel (Anne Hathaway), a lone female, live', 's in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.', '…&nbsp;', 'MORE']"
Saving Private Ryan,1998,"['95% liked this film', 'Google users']","['4.8', '2191 ratings']","['Description', 'During the Normandy invasion of World War II, Captain John Miller is assigned the task of searching for Private James Ryan, whose three brothers have already been killed in the war.']"
Rise of the Planet of the Apes,2011,"['87% liked this film', 'Google users']","['4.7', '397 ratings']","['Description', 'Caesar, a chimpanzee, has been with Will ever since he was born, and, with a new drug, he can think and react like humans. When Caesar finds himself subjected to injustice, he decides to revolt.']"
Home Alone,1990,"['93% liked this film', 'Google users']","['4.8', '2128 ratings']","['Description', 'Eight-year-old Kevin is accidentally left behind when his family leaves for France. At first, he is happy to be in charge, but when thieves try to break into his home, he tries to put up a fight.']"
Hotel Transylvania 2,2015,"['86% liked this film', 'Google users']","['4.5', '300 ratings']","['Description', 'Dracula is concerned for his beloved half-human, half-vampire grandson, Dennis, when he notices that he is not showing any signs of being a vampire.']"
Star Wars: Episode VI - Return of the Jedi,1983,"['95% liked this film', 'Google users']","['4.7', '1124 ratings']","['Description', 'Luke Skywalker attempts to bring his father back to the light side of the Force. At the same time, the rebels hatch a plan to destroy the second Death Star.']"
Charlie and the Chocolate Factory,2005,"['90% liked this film', 'Google users']","['4.5', '2029 ratings']","['Description', 'Charlie, a young boy from an impoverished family, and four other kids win a tour of an amazing chocolate factory run by an imaginative chocolatier, Willy Wonka, and his staff of Oompa-Loompas.']"
Indiana Jones and the Last Crusade,1989,"['94% liked this film', 'Google users']","['4.6', '337 ratings']","['Description', 'When Indiana Jones, an archaeologist, learns that his father, Dr Henry Jones, has disappeared while looking for the Holy Grail, he embarks on a journey to get to him before the Nazis.']"
San Andreas,2015,"['86% liked this film', 'Google users']","['4.4', '948 ratings']","['Description', 'Following a massive earthquake, Ray, a rescue-chopper pilot, and his estranged wife try to find and save their daughter before another disaster strikes.']"
It Chapter Two,2019,"['84% liked this film', 'Google users']","['3.7', '5051 ratings']","['Description', 'After 27 years, the Losers Club receive a call from their friend Mike Hanlon that Pennywise is back. They decide to honour their promise and return to their old town to end the evil clown for good.']"
Jaws,1975,"['88% liked this film', 'Google users']","['4.5', '1115 ratings']","['Description', 'A police chief, a marine scientist and a fisherman spring into action after a white shark terrorises the inhabitants of Amity, a quiet island.']"
Wreck-It Ralph,2012,"['88% liked this film', 'Google users']","['4.7', '811 ratings']","['Description', 'Ralph is tired of playing the role of a bad guy and embarks on a journey to become a video game hero. But Ralph accidentally lets loose a deadly enemy that threatens the entire arcade.']"
Venom: Let There Be Carnage,2021,"['88% liked this film', 'Google users']","['4.1', '7810 ratings']","['Description', 'Eddie Brock is still struggling to coexist with the shape-shifting extraterrestrial Venom. When deranged serial killer Cletus Kasady also becomes host to an alien symbiote, Brock and Venom must put aside their differences to stop his reign of terror.']"
The Hangover,2009,"['91% liked this film', 'Google users']","['4.7', '884 ratings']","['Description', 'Doug and his three best men go to Las Vegas to celebrate his bachelor party. However, the three best men wake up the next day with a hangover and realise that Doug is missing.']"
The Lego Movie,2014,"['88% liked this film', 'Google users']","['4.6', '726 ratings']","['Description', 'Emmet, an ordinary individual prophesied to be the Special, is entrusted with the responsibility of saving the Lego world from the cruel ways of Lord Business.']"
Bumblebee,2018,"['87% liked this film', 'Google users']","['4.3', '1765 ratings']","['Description', 'During the Cybertron Civil War, Optimus Prime sends Autobot scout B-127 to Earth to form a base where they can regroup. Later, the scout befriends a girl named Charlie, who names him Bumblebee.']"
Godzilla vs. Kong,2021,"['91% liked this film', 'Google users']","['4.3', '21133 ratings']","['Description', 'King Kong is transported out of his containment zone after Godzilla resurfaces and creates mayhem. Humans need his help to reach Hollow Earth and find a way to subdue the king of the monsters.']"
Star Trek Into Darkness,2013,"['84% liked this film', 'Google users']","['4.4', '261 ratings']","['Description', 'The USS Enterprise crew travels to the forbidden zone in space to rescue an endangered species. Captain Kirk then leads his team to a war-zone world in search of a weapon of mass destruction.']"
The Matrix,1999,"['91% liked this film', 'Google users']","['4.7', '2727 ratings']","['Description', 'Thomas Anderson, a computer programmer, is led to fight an underground war against powerful computers who have constructed his entire reality with a system called the Matrix.']"
Gladiator,2000,"['92% liked this film', 'Google users']","['4.8', '2159 ratings']","['Description', 'Commodus takes over power and demotes Maximus, one of the preferred generals of his father, Emperor Marcus Aurelius. As a result, Maximus is relegated to fighting till death as a gladiator.']"
Pretty Woman,1990,"['89% liked this film', 'Google users']","['4.7', '715 ratings']","['Description', 'Edward, a rich entrepreneur, hires Vivian, a prostitute, to accompany him to a few social events. Trouble ensues when he falls in love with her and they try to bridge the gap between their worlds.']"
Cars,2006,"['88% liked this film', 'Google users']","['4.7', '2137 ratings']","['Description', 'Lightning McQueen, a racing car, learns a hard lesson in life when he damages a lot of property in Radiator Springs. His task is to repair the damage done before he can get back on the road.']"
The Eight Hundred,2020,"['86% liked this film', 'Google users']","['4.4', '340 ratings']","['Description', 'In 1937 a group of Chinese soldiers and draft dodgers puts up a four-day defense of a Shanghai warehouse complex just as Japanese forces are overwhelming China.']"
X-Men: The Last Stand,2006,"['79% liked this film', 'Google users']","['3.8', '268 ratings']","['Description', 'A government-supported laboratory finds a cure for the mutants and the DNA of a powerful boy is used for it. However, the mutants must give up their powers and become human, hence splitting them.']"
National Treasure: Book of Secrets,2007,"['83% liked this film', 'Google users']","['4.2', '138 ratings']","['Description', 'Ben finds that his ancestor was implicated in the assassination of Abraham Lincoln, a president of the USA. Through the help of a clue in a diary, he ventures out to clear the name of his ancestor.']"
Lucy,2014,"['82% liked this film', 'Google users']","['4.4', '2527 ratings']","['Description', 'Lucy gains extraordinary physical and mental capabilities after the effects of a performance-enhancing drug set in. Soon, she evolves into a warrior bent on destroying those who held her captive.']"
Mission: Impossible,1996,"['88% liked this film', 'Google users']","['4.4', '320 ratings']","['Description', 'Ethan Hunt, an American special agent, struggles to prove his innocence and catch the real culprit when he is falsely accused of murdering his entire team.']"
300,2007,[],[],[]
The Last Samurai,2003,"['92% liked this film', 'Google users']","['4.8', '1039 ratings']","['Description', 'Captain Nathan Algren is hired to train the Japanese army to fight a Samurai rebellion. However, he ends up embracing the people of Samurai culture after he gets captured by them.']"
Demon Slayer: Mugen Train,2020,"['97% liked this film', 'Google users']","['4.9', '18425 ratings']","['Description', ""A boy raised by boars, who wears a boar's head, boards the Infinity Train on a new mission with the Flame Pillar along with another boy who reveals his true power when he sleeps. Their mission is to defeat a demon who has been tormenting people and killing the demon slayers who oppose it.""]"
Dying to Survive,2018,"['96% liked this film', 'Google users']","['4.8', '72 ratings']","['Description', 'A Chinese leukaemia patient smuggles cheap but untested pharmaceuticals from India to help hundreds of Chinese people suffering from cancer.']"
Ocean's Eleven,2001,"['88% liked this film', 'Google users']","['4.4', '629 ratings']","['Description', 'Danny Ocean, a gangster, assembles a group of eleven people in an effort to steal money from three popular casinos in Las Vegas owned by his rival, Terry Benedict.']"
"My People, My Country",2019,"['84% liked this film', 'Google users']",[],"['Description', ""An anthology film consisting of seven short stories directed by several different directors, which are based on seven moments since the founding of People's Republic of China.""]"
Thor,2011,"['85% liked this film', 'Google users']","['4.4', '1543 ratings']","['Description', 'Thor is exiled by his father, Odin, the King of Asgard, to the Earth to live among mortals. When he lands on Earth, his trusted weapon Mjolnir is discovered and captured by S.H.I.E.L.D.']"
Pearl Harbor,2001,"['89% liked this film', 'Google users']","['4.4', '853 ratings']","['Description', 'Childhood friends Rafe and Danny become army pilots and meet Evelyn, a navy nurse. However, the three of them later find themselves in the middle of the attack on Pearl Harbour during World War II.']"
La La Land,2016,"['84% liked this film', 'Google users']","['4.5', '2749 ratings']","['Description', 'When Sebastian, a pianist, and Mia, an actress, follow their passion and achieve success in their respective fields, they find themselves torn between their love for each other and their careers.']"
Tarzan,1999,"['85% liked this film', 'Google users']","['4.7', '291 ratings']","['Description', ""Tarzan, an orphan raised by mountain gorillas, rescues a woman explorer, Jane. After realising that he's a human, Tarzan must choose between civilization and the jungle life.""]"
Men in Black II,2002,"['90% liked this film', 'Google users']","['4.3', '161 ratings']","['Description', 'Agent J learns about Serleena, a shapeshifting alien, who is searching for the Light of Zartha on Earth. He seeks help from his now-retired former partner, Agent K, to find the Light before Serleena.']"
The Bourne Ultimatum,2007,"['91% liked this film', 'Google users']","['4.6', '262 ratings']","['Description', ""Jason Bourne sets off on a quest to uncover his dark past. However, to get to the end of the riddle, he must dodge the CIA agents who're trying to kill him.""]"
The Mummy Returns,2001,"['87% liked this film', 'Google users']","['4.5', '293 ratings']","['Description', ""When an archaeologist couple's son finds the Bracelet of Anubis, it locks onto his wrist. A cult resurrects Imhotep, an evil Egyptian high priest, who needs the bracelet to defeat the Scorpion King.""]"
Alvin and the Chipmunks: The Squeakquel,2009,"['86% liked this film', 'Google users']","['4.5', '194 ratings']","['Description', ""Back in school, Alvin, Simon and Theodore must save the school's music programme by winning the battle of the bands. For this, they must beat Brittany, Eleanor and Jeanette, also called The Chipettes.""]"
Les Misérables,2012,"['84% liked this film', 'Google users']","['4.6', '823 ratings']","['Description', 'Jean Valjean, a prisoner, breaks parole in order to start life anew. He soon becomes the caretaker of a young girl but his past comes back to catch up with him.']"
The Exorcist,1973,"['88% liked this film', 'Google users']","['4.3', '1070 ratings']","['Description', 'Regan, a young girl, displays bizarre behaviour after playing with a Ouija board. Chris, her mother and an actress, consults two priests who conclude that Regan is possessed by a demonic entity.']"
Mrs. Doubtfire,1993,"['92% liked this film', 'Google users']","['4.8', '401 ratings']","['Description', ""Daniel, a divorced actor, disguises himself as Mrs Doubtfire, an ageing female Scottish housekeeper, in order to work in his ex-wife's house and spend more time with his children.""]"
Terminator Genisys,2015,"['78% liked this film', 'Google users']","['3.9', '549 ratings']","['Description', 'John sends Kyle to the year 1984 to protect his mother, Sarah, from being killed. When the timeline is altered, Kyle asks her to travel to the year 2017 to stop an AI system that wants to end mankind.']"
Warcraft,2016,"['72% liked this film', 'Google users']","['4.5', '1082 ratings']","['Description', 'A few human survivors must team up with a group of dissenting Orcs to stop an Orc horde from invading their planet through a magic portal.']"
The Greatest Showman,2017,"['92% liked this film', 'Google users']","['4.8', '4287 ratings']","['Description', 'P T Barnum becomes a worldwide sensation in the show business. His imagination and innovative ideas take him to the top of his game.']"
A Star Is Born,2018,"['91% liked this film', 'Google users']","['4.6', '2850 ratings']","['Description', 'After falling in love with struggling artist Ally, Jackson, a musician, coaxes her to follow her dreams, while he battles with alcoholism and his personal demons.']"
Pokémon Detective Pikachu,2019,"['90% liked this film', 'Google users']","['4.4', '1607 ratings']","['Description', ""After the demise of his father, Tim travels to Ryme city where he runs into his father's Pokemon partner, Pikachu. They team up and try to work on the case left unfinished by Tim's father.""]"
Terminator 3: Rise of the Machines,2003,"['87% liked this film', 'Google users']","['4.0', '358 ratings']","['Description', 'A powerful cyborg from a post-apocalyptic future appears in search of a drifter. Soon, he must protect himself and his companion from a deadly robotic threat.']"
Die Another Day,2002,"['83% liked this film', 'Google users']","['3.3', '244 ratings']","['Description', ""Bond's new mission to enquire about the connection between a Korean terrorist and a diamond baron is sabotaged when he is betrayed, which leads him to being captured by the enemy.""]"
Shang-Chi and the Legend of the Ten Rings,2021,"['93% liked this film', 'Google users']","['4.6', '16555 ratings']","['Description', ""Martial-arts master Shang-Chi confronts the past he thought he left behind when he's drawn into the web of the mysterious Ten Rings organization.""]"
The Secret Life of Pets 2,2019,"['82% liked this film', 'Google users']","['4.2', '708 ratings']","['Description', ""At a farm, Max meets the sheepdog Rooster who tries to help him overcome his fears. Back home, Gidget loses Max's favourite toy, while Snowball tries to rescue a white tiger cub, Hu.""]"
Cast Away,2000,"['91% liked this film', 'Google users']","['4.7', '1614 ratings']","['Description', 'After a deadly plane crash, Chuck Nolan finds himself marooned on a desolate island. With no way to escape, Chuck must find ways to survive in his new home.']"
Rampage,2018,"['80% liked this film', 'Google users']","['4.3', '1022 ratings']","['Description', 'Primatologist Davis Okoye teams up with a geneticist, Dr Kate Caldwell, and tries to save George, an albino gorilla, and prevent two giant mutated animals from wreaking havoc in Chicago.']"
The King's Speech,2010,"['92% liked this film', 'Google users']","['4.7', '425 ratings']","['Description', 'King George VI tries to overcome his stammering problem with the help of speech therapist Lionel Logue and makes himself worthy enough to lead his country through World War II.']"
The Matrix Revolutions,2003,"['89% liked this film', 'Google users']","['4.2', '354 ratings']","['Description', ""Neo, humanity's only hope of stopping the war and saving Zion, attempts to broker peace between the machines and humans. However, he must first confront his arch nemesis, the rogue agent Smith.""]"
The Intouchables,2011,"['94% liked this film', 'Google users']","['4.9', '1552 ratings']","['Description', 'An unusual friendship develops when Driss, a street smart immigrant, is hired to take care of Philippe, a quadriplegic French nobleman.']"
Bad Boys for Life,2020,"['87% liked this film', 'Google users']","['4.3', '4786 ratings']","['Description', ""Detectives Mike Lowrey and Marcus Burnett join the Miami Police Department's special team AMMO to bring down the ruthless Armando, who is on a mission to kill Mike at his mother Isabel's orders.""]"
Django Unchained,2012,"['93% liked this film', 'Google users']","['4.7', '2544 ratings']","['Description', 'When Django, a slave, is freed, he joins forces with a bounty hunter to rescue his wife, who has been enslaved by Calvin, a hard-hearted plantation owner.']"
Beauty and the Beast,1991,"['92% liked this film', 'Google users']","['4.6', '387 ratings']","['Description', 'Belle, a beautiful young woman, agrees to live with the Beast in exchange for the return of her abducted father. Soon, Belle discovers that her hideous captor is actually an enchanted prince.']"
Dances with Wolves,1990,"['90% liked this film', 'Google users']","['4.8', '548 ratings']","['Description', 'A drama movie that narrates the story of Lt. John Dunbar who is exiled to a remote western Civil War outpost, where he befriends wolves and Indians, making him an intolerable aberration.']"
"My People, My Homeland",2020,"['85% liked this film', 'Google users']",[],"['Description', 'In different parts of rural China, various people explore what makes their communities unique.']"
The Chronicles of Narnia: Prince Caspian,2008,"['85% liked this film', 'Google users']","['4.6', '391 ratings']","['Description', 'Four children return to Narnia to help Prince Caspian who struggles to win back his throne from King Miraz, his evil uncle.']"
Sex and the City,2008,"['69% liked this film', 'Google users']","['4.3', '181 ratings']","['Description', ""Carrie and Big decide to get married. But on their wedding day, Big develops cold feet after his lover's friend, Miranda, expresses the reality of marriage to him upon being frustrated by her husband.""]"
The Captain,2019,"['93% liked this film', 'Google users']","['4.7', '468 ratings']","['Description', ""A commercial flight's cockpit windshield shatters at the altitude of 30,000 feet. As the pilot struggles to control the aircraft, the crew must keep the passengers safe.""]"
The Mummy,1999,"['92% liked this film', 'Google users']","['4.7', '709 ratings']","['Description', ""Adventurer Rick O'Connell and Egyptologist Evelyn, along with a bunch of archaeologists, inadvertently wake up an evil mummy during an archaeological excavation at the ancient city of Hamunaptra.""]"
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"['76% liked this film', 'Google users']","['4.6', '330 ratings']","['Description', 'Siblings Edmund and Lucy, along with their cousin, Eustace, meet Prince Caspian aboard the Dawn Treader, the royal ship. Together, they face many dangers as they try to save the seven Lords of Narnia.']"
Jason Bourne,2016,"['86% liked this film', 'Google users']","['4.3', '326 ratings']","['Description', ""Jason Bourne, a former CIA agent, is drawn out of hiding by CIA director Robert Dewey. He then sets out to discover more about his past, family and his father's death.""]"
The Wolverine,2013,"['85% liked this film', 'Google users']","['4.4', '418 ratings']","['Description', 'Logan travels to Tokyo to meet Yashida, an old acquaintance who is dying. The situation regresses when Yashida offers to take away his healing abilities, but Logan refuses.']"
Kingsman: The Secret Service,2015,[],[],[]
Night at the Museum: Battle of the Smithsonian,2009,"['90% liked this film', 'Google users']","['4.2', '128 ratings']","['Description', 'Larry Daley has to infiltrate the Smithsonian Institution to rescue Jedediah and Octavius after they are accidentally shipped there along with a few artefacts.']"
Batman,1989,"['86% liked this film', 'Google users']","['4.5', '514 ratings']","['Description', 'Batman, a masked vigilante from Gotham City, fights against evil to keep its citizens safe. He must battle Jack Napier, who turns into the Joker and threatens to take over Gotham City.']"
The Bodyguard,1992,"['83% liked this film', 'Google users']","['4.6', '257 ratings']","['Description', 'Rachel, a singer and an actor, receives death threats from an obsessive stalker. However, things turn chaotic when she hires Frank, an ex-Secret Service agent, to be her bodyguard and falls for him.']"
Pacific Rim,2013,"['86% liked this film', 'Google users']","['4.7', '1344 ratings']","['Description', ""The government assumes the Jaegers, robotic war machines battling the Kaijus, to be ineffective. However, Stacker Pentecost's team believes that only the Jaegers can save the world from destruction.""]"
Kingsman: The Golden Circle,2017,"['85% liked this film', 'Google users']",[],"['Description', 'After the enemies blow up their headquarters, the surviving agents of Kingsman band together with their American counterpart to take down a ruthless drug cartel.']"
The Mummy,2017,"['75% liked this film', 'Google users']","['3.7', '845 ratings']","['Description', 'After Sergeant Nick and Corporal Chris call an air strike on an enemy stronghold, they stumble upon the tomb of Princess Ahmanet. The princess is set free and Nick has to fight for his life.']"
Ice Age: Collision Course,2016,"['82% liked this film', 'Google users']","['4.0', '495 ratings']","['Description', 'Scrat accidentally sets off an asteroid to Earth while trying to get his acorn. However, Manny, Sid and Diego must join forces with Buck to prevent the asteroid from wiping out their existence.']"
Twilight,2008,"['88% liked this film', 'Google users']","['4.5', '4755 ratings']","['Description', 'When Bella Swan relocates to Forks, Washington, to live with her father, she meets a mysterious boy, Edward Cullen, and gets drawn to him. Later, she discovers that he is a vampire.']"
Signs,2002,"['85% liked this film', 'Google users']","['4.3', '463 ratings']","['Description', 'Father Graham Hess and his family migrate to a farmhouse that later becomes the site of strange crop circles that suggest the existence of alien life.']"
X2: X-Men United,2003,"['86% liked this film', 'Google users']","['4.4', '257 ratings']","['Description', ""Nightcrawler, a mutant, tries to murder the president of the United States. Meanwhile, when William Stryker attacks Professor X's school, his mutant students team up to thwart his evil plans.""]"
Alita: Battle Angel,2019,"['89% liked this film', 'Google users']","['4.7', '4002 ratings']","['Description', 'Alita, a battle cyborg, is revived by Ido, a doctor, who realises that she actually has the soul of a teenager. Alita then sets out to learn about her past and find her true identity.']"
The Mummy: Tomb of the Dragon Emperor,2008,"['82% liked this film', 'Google users']","['3.2', '198 ratings']","['Description', ""After being asked to visit China with a precious relic, which can bring people back from the dead, Alex O'Connell discovers an ancient tomb and accidentally resurrects a mummy.""]"
Prometheus,2012,"['85% liked this film', 'Google users']","['4.0', '960 ratings']","['Description', ""After a clue to mankind's origins is discovered, explorers are sent to the darkest corner of the universe. Their different expectations take a toll on them when they find something unimaginable.""]"
Gone with the Wind,1939,"['86% liked this film', 'Google users']","['4.5', '969 ratings']","['Description', 'American classic in which a manipulative woman and a roguish man carry on a turbulent love affair in the American south during the Civil War and Reconstruction.']"
Mamma Mia! Here We Go Again,2018,"['89% liked this film', 'Google users']","['4.2', '616 ratings']","['Description', ""Sophie Sheridan learns more about her mother Donna's history on the island of Kalokairi with her three possible fathers as she reopens the family hotel.""]"
TRON: Legacy,2010,"['85% liked this film', 'Google users']","['4.7', '757 ratings']","['Description', 'Sam misses his father, a virtual world designer, and enters a virtual space that has become much more dangerous than his father intended. Now, both father and son embark upon a life-and-death journey.']"
Mission: Impossible III,2006,"['90% liked this film', 'Google users']","['4.4', '229 ratings']","['Description', ""IMF agent Ethan Hunt is called out of retirement to rescue one of his students and confront Owen Davian, a ruthless arms dealer, who has kidnapped Julia Meade, Ethan's wife.""]"
Snow White and the Huntsman,2012,"['80% liked this film', 'Google users']","['4.2', '375 ratings']","['Description', 'Queen Ravenna, an evil woman, tasks Eric, a huntsman, with murdering Snow White, her stepdaughter. Instead of killing her, he ends up becoming her protector.']"
