Title,Year,Google_Users,Google user ratings,movie description
Skyfall,2012,"['90% liked this film', 'Google users']","['4.6', '819 ratings']","['Description', ""An ex-MI6 agent steals a hard drive with top secret information to carry out a vendetta on Bond's overseer, M. Bond must face his past in a bid to try and save M.""]"
Transformers: Age of Extinction,2014,"['78% liked this film', 'Google users']","['4.0', '713 ratings']","['Description', 'The Autobots, a faction of robots from the planet Cybertron, are hunted down by an elite CIA black ops unit and a ruthless bounty hunter. They turn to a struggling inventor and his daughter for help.']"
The Dark Knight Rises,2012,"['87% liked this film', 'Google users']","['4.7', '2288 ratings']","['Description', 'Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.']"
Joker,2019,"['91% liked this film', 'Google users']","['4.5', '25788 ratings']","['Description', 'Arthur Fleck, a party clown, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of crime and chaos.']"
Star Wars: Episode IX - The Rise of Skywalker,2019,"['72% liked this film', 'Google users']","['3.4', '39127 ratings']","['Description', ""The revival of Emperor Palpatine resurrects the battle between the Resistance and the First Order while the Jedi's legendary conflict with the Sith Lord comes to a head.""]"
Toy Story 4,2019,"['87% liked this film', 'Google users']","['3.8', '2692 ratings']","['Description', 'Woody attempts to make Forky, a toy, suffering from existential crisis, realise his importance in the life of Bonnie, their owner. However, things become difficult when Gabby Gabby enters their lives.']"
Toy Story 3,2010,"['91% liked this film', 'Google users']","['4.6', '750 ratings']","['Description', 'Before Andy leaves for college, his toys are mistakenly delivered to a day care centre. Woody convinces the other toys that they were not dumped and leads them on an expedition back home.']"
Pirates of the Caribbean: Dead Man's Chest,2006,"['92% liked this film', 'Google users']","['4.7', '735 ratings']","['Description', 'Captain Jack Sparrow seeks the heart of Davy Jones, a mythical pirate, in order to avoid being enslaved to him. However, others, including his friends Will and Elizabeth, want it for their own gain.']"
The Lion King,1994,"['92% liked this film', 'Google users']","['4.7', '1817 ratings']","['Description', 'As a cub, Simba is forced to leave the Pride Lands after his father Mufasa is murdered by his wicked uncle, Scar. Years later, he returns as a young lion to reclaim his throne.']"
Rogue One: A Star Wars Story,2016,"['87% liked this film', 'Google users']","['4.5', '1809 ratings']","['Description', ""Jyn's father is forcibly taken by the Galactic Empire to help them complete the Death Star. When she grows up, she joins a group of resistance fighters who aim to steal the Empire's blueprints.""]"
Aladdin,2019,"['90% liked this film', 'Google users']","['4.4', '4370 ratings']","['Description', 'Aladdin, a kind thief, woos Jasmine, the princess of Agrabah, with the help of Genie. When Jafar, the grand vizier, tries to usurp the king, Jasmine, Aladdin and Genie must stop him from succeeding.']"
