review,mojo_name,mojo_year,rt_name,genre,release_year,stream_year
Russell Crowe solidly anchors this epic-scale gladiator movie - the first in nearly four decades - by using his burly frame and expressive face to give dimension to what might otherwise have been comic book heroics.,Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"It is monumental movie-making: visually thrilling, technically astonishing, and emotionally engaging.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"The journey of Maximus, from triumph on the battlefield through despair and degradation in slavery and then to a final epiphany in the Colosseum is an exciting one - and Russell Crowe plays the character with considerable toughness and authority.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"Throughout it all, Crowe maintains a tough, slot-mouthed reticence; he is very persuasive as the superman of the Colosseum.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"In Russell Crowe, Scott has found an actor who can carry this movie the way Atlas was supposed to carry the globe of the world on his back -- in Crowe's case without stooping.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"Rather than getting lost in the world Scott has created on screen, Scott asks filmgoers to marvel at how he created that world, and how smoothly he succeeds in manipulating us.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"Gladiator is filled with brilliant filmmaking and features outstanding performances, but it's neither profound enough nor pop enough to be great -- it's mournful, serious, beautiful and, finally, pointless.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"Ridley Scott thrusts us so close to the combat that all we see is a lot of whirling and thrashing, a sword thrust here and there, a spurt of blood, a limb severed. There's hardly a scene that is cleanly and coherently staged in open space.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"If there's a soft spot in your heart for the sword-&-sandal epic, then you'll swoon with giddy delight over Gladiator.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"Crowe doesn't use tricks in this role to court our approval. He earns it the old-fashioned way, by daring to be quiet, if not silent, and intensely, implacably strong.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"The fusion of the ancient and the modern -- even to the point of some sly echoes of our own sports-mad society -- is seamless. Gladiator does indeed deliver the glory that was Rome, but it also clinically dissects the assumptions on which it was built.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"In the end, Gladiator is overdrawn and too insubstantial for its own good, just like the old days, but it satisfies as entertainment on a grand scale.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"Gladiator's combination of grim sanctimony and drenching, Dolby-ized dismemberings left me appalled.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"Time for a little gladiatorial gore with your Milk Duds. Gladiator is here, and it's big, glorious and eminently dumb.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
Really excellent but really violent Oscar winner.,Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"Ultimately, Gladiator is an honorable and inoffensive spectacle with nothing extraordinary to recommend it.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"Though the digital effects lack the weight and conviction of their equivalents in old Cecil B. De Mille movies, Ridley Scott's sword-and-sandal epic has some of the intensity of old Hollywood in terms of storytelling, spectacle, and violence.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"The cast is strong (notably Nielsen as Commodus's vacillating sister, and the late Oliver Reed, unusually endearing as a gladiator owner), the pacing lively, and the sets, swordplay and Scud catapults impressive.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"All the pieces are in place, but somehow they just don’t come together.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
"The Roman costume drama, all dressed to the IX's, has taken a long holiday from the big screen.",Gladiator,2000,Gladiator - Movie Reviews,"Action , Adventure , History , Drama",2000,2011
[T]here's nothing light about this movie's comic touch.,Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
"The movie's most outrageous high-concept moment - the stretch limo, private jet, opera - is pure camp.",Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
"The Roberts smile - full-lipped, a mile wide and gleaming - is the closest the movies have yet come to capturing sunshine. Such dazzle should not be taken lightly.",Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
"The soundtrack, including the Roy Orbison classic that gave the movie its name, is bopping, and the pacing is breezy. Gere is charismatic, and he and Roberts have a subtle chemistry, a complicity that you want to share.",Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
"The movie displays an almost preternatural disregard for women's feelings - call it Pygmalion, with a heavy accent on the first syllable - but the comedy is so slickly delivered that audiences may be content with chuckling over its polished surface ...",Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
It's all fairly unconvincing - but its heart is roughly in the right place.,Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
"This is old-fashioned, assembly-line moviemaking without the old panache.",Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
"Pic's casting is astute, with Gere underplaying like a sturdy ballet star who hoists the ballerina Roberts on his shoulders.",Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
"Low on real social comment, this modern fable still has more than enough chemistry between its leading pair to rake in the box-office rewards.",Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
It's saying Roberts' character becomes a better person when she lands a rich guy and learns to cry at the opera.,Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
"He pays her $3,000 and they fall in love -- ain't Hollywood grand?",Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
"For a film that attempts to satirise snooty materialism, it focuses too pantingly on the designer labels, and comes down firmly on the side of 'rich is better'.",Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
,Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
It is something special.,Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
As shamelessly irresistible as the Roy Orbison oldie that accompanies the credits.,Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
Pretty Woman seduces all but the most wary.,Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
"A slick, instantly and entertainingly digestible Cinderella fable.",Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
The sweetest and most openhearted love fable since The Princess Bride.,Pretty Woman,1990,Pretty Woman - Movie Reviews,"Romance , Comedy",In Theaters:,2014
"Cars is Pixar's most improbable success to date, a film that could easily have misfired, but somehow does not.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"Rips off Doc Hollywood, almost note for note.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"Smooth, but bland and forgettable.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"Judged against previous form, this is not Pixar firing on all cylinders, lacking the sophisticated comedy we've come to expect. Judged against fare from other studios, however, it's a triumph.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"It had to end sometime. After a run of standard-setting CGI movies, Pixar has finally delivered a dud.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"I'm wondering if the Piston Cup conceit of huge crowds of cars watching fellow cars race around a track crashing is perverse in a ""They Shoot Horses, Don't They?"" sort of way.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"Along came the interstate, apparently, and ruined everything. Just like that darned Internet, I guess, or that superhighway stuff, or those dumb movies they make with computers nowadays.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"Cars might get us into car world as a gimmick, but it doesn't get us into car world as a state of mind. Thus, the animation, rather than seeming like an expression of the movie's deeper truth, becomes an impediment to it.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"Though the central idea of nostalgia for a quieter, small-town life may well be lost on this movie's young audience -- Cars finds a pleasant and often sparkling groove.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"Cars made me want to hop in my jalopy and to head out to Route 66, bypassing the boring interstate highways that made the Mother Road redundant.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
It's beautiful to look at. The talking cars feel more alive than talking cars should.,Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
It's impossible to find more joy in the dark at the moment.,Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"It's another innovative piece of entertainment from the animation studio, taking the audience on a kinetic trip into a world populated only by automobiles.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"Cars somewhat self-indulgently runs nearly two hours -- but overall, it's well worth the trip.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"Like the Toy Story films, Cars is a state-of-the-computer-art plea on behalf of outmoded, wholesome fifties technology, with a dash of Zen by way of George Lucas.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"It achieves the near impossible, turning cars, trucks, tractors and farm harvesters into cute Disney characters whose fates you'll care about.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"It thunders ahead with breezy abandon, scoring big grins on its way.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"For parents out there whose future holds the certain prospect of the DVD version blaring repeatedly from family-room screens, let this by your advisory. Warning: Cars comes unequipped with two essential options -- charm and a good muffler.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"It's touching, it's funny, it offers cautions about the modern pace of life, and it depends on a sense of rural Americana for its soul.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
"Its characters may be made of steel, but this movie is made of sturdier stuff: heart and art.",Cars,2006,Cars - Movie Reviews,"Kids & Family , Adventure , Animation , Comedy",2006,2014
The Eight Hundred bites off more that it can chew but it consistently serves up gripping filmmaking on the biggest canvas.,The Eight Hundred,2020,The Eight Hundred - Movie Reviews,"Drama , History , War",2021,2021
"""The Eight Hundred"" fetishizes martyrdom, but for those seeking big-screen, epic violence, it's pretty much the only game in town.",The Eight Hundred,2020,The Eight Hundred - Movie Reviews,"Drama , History , War",2021,2021
"Guan goes hammer and tongs with the special effects, delivering stupendously, joint-rattlingly-loud battle scenes and combat sequences edited to the lightning pace of a superhero movie.",The Eight Hundred,2020,The Eight Hundred - Movie Reviews,"Drama , History , War",2021,2021
"The Eight Hundred is thin on characterization, and too often slips into rote narrative and war movie cliches.",The Eight Hundred,2020,The Eight Hundred - Movie Reviews,"Drama , History , War",2021,2021
"[A]t least those who like blunt metaphors with their war movies will get a kick out of Hu's most blatant device: a majestic white horse that the NRA lets gallop through the warehouse as if rubber-stamped with the words ""hope.""",The Eight Hundred,2020,The Eight Hundred - Movie Reviews,"Drama , History , War",2021,2021
Plunges audiences into both the intimacy and magnitude of brutal war spectacle while immersing them in a stunningly mounted period canvas.,The Eight Hundred,2020,The Eight Hundred - Movie Reviews,"Drama , History , War",2021,2021
"Sillier than the Singer versions, Ratner's movie is also -- for this less-than-reverent X-Men fan -- more satisfying.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"X-Men: The Last Stand has shifted the shape of the franchise from pretty good, if uninspired, to terrifically entertaining.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"[I] found myself strangely moved by the sense of relationships, friendly and unfriendly, coming to an end in a dull return to normality in the world of humans and mutants.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"What a comedown, after the weirdly beautiful things Singer and his technicians did in the first two movies.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"While the movie takes itself seriously, not to say solemnly, it's really an occasion for funny, frightening metamorphoses and spectacular effects.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"The Last Stand is a hugely ambitious picture, and it would have been far more successful if Ratner had scaled it down to focus more on the interaction between the characters.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"[Director] Ratner makes a hash of the story and characters his predecessor brought to such complex, sympathetic life, delivering a pumped-up exercise in mayhem, carnage and blunt-force trauma.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
