review,mojo_name,mojo_year,rt_name,genre,release_year,stream_year
I walked out of this film wiping away tears and feeling invincible. I felt I could wrestle down anything that hit me. How do you put a rating on that?,Dangal,2016,Dangal Yuddham - Movie Reviews,"Action , Biography , Drama",2016,2017
"Within that tight-lipped mask, [Khan] finds a hundred ways to communicate emotion. That's more than you can say for Dangal, a one-trick domestic sports drama that drags on for two hours and 40 minutes.",Dangal,2016,Dangal Yuddham - Movie Reviews,"Action , Biography , Drama",2016,2017
"Let it never be said that if you've seen one inspirational sports movie, you've seen them all.",Dangal,2016,Dangal Yuddham - Movie Reviews,"Action , Biography , Drama",2016,2017
"Very solid, very sound entertainment, with thumpingly good Pritam songs that make Eye of the Tiger seem like pipsqueakery.",Dangal,2016,Dangal Yuddham - Movie Reviews,"Action , Biography , Drama",2016,2017
Passengers takes what could have been an interesting debate about consent and glosses it over with cheesy romance and problematic sex.,Passengers,2016,Passengers - Movie Reviews,"Mystery & Thriller , Adventure , Romance , Sci-Fi",2016,2017
The film's greatest sin is its intrinsic dullness.,Passengers,2016,Passengers - Movie Reviews,"Mystery & Thriller , Adventure , Romance , Sci-Fi",2016,2017
"The production design here is spectacular and utopian - a delirious idea of a future that's perfectable, a world without blemish.",Passengers,2016,Passengers - Movie Reviews,"Mystery & Thriller , Adventure , Romance , Sci-Fi",2016,2017
"Ironically, Passengers is at its most evocative when capturing a state of utter tedium.",Passengers,2016,Passengers - Movie Reviews,"Mystery & Thriller , Adventure , Romance , Sci-Fi",2016,2017
"Seriously, the final act is an unconscionable mess.",Passengers,2016,Passengers - Movie Reviews,"Mystery & Thriller , Adventure , Romance , Sci-Fi",2016,2017
"Passengers is terrible, failing to commit itself to anything other than convincing its viewers that a woman should settle for any man who is even vaguely nice to them.",Passengers,2016,Passengers - Movie Reviews,"Mystery & Thriller , Adventure , Romance , Sci-Fi",2016,2017
"Fixing the malfunctioning Avalon requires addressing the fundamental damage, but the film seems to argue that the same does not hold true for the human heart.",Passengers,2016,Passengers - Movie Reviews,"Mystery & Thriller , Adventure , Romance , Sci-Fi",2016,2017
Once or twice Passengers seems like Antonioni in space -- no higher compliment.,Passengers,2016,Passengers - Movie Reviews,"Mystery & Thriller , Adventure , Romance , Sci-Fi",2016,2017
"Lawrence is, once more, simply great in this, just so vivid and fascinating to watch, her idiosyncratic face our total focus, her athleticism outdoing Pratt's: she is completely the life of the film.",Passengers,2016,Passengers - Movie Reviews,"Mystery & Thriller , Adventure , Romance , Sci-Fi",2016,2017
"[It's] a kinda corny, kinda cool, big-budgeted Hollywood to-do with the nerviness to ask a million-dollar question but baffled by how best to answer it. Still, not a bad conversation starter.",Passengers,2016,Passengers - Movie Reviews,"Mystery & Thriller , Adventure , Romance , Sci-Fi",2016,2017
