Title,Year,google_use_like,google_use_score,google_use_n_rev,movie_description,imdb_score,rotten_tom_score,metacritic_score,id
Transformers: Dark of the Moon,2011,0.84,0.9,578.0,Sam Witwicky and the Autobots must unravel the secrets of a Cybertronian spacecraft hidden on the Moon before the Decepticons can use it for their own evil schemes.,0.62,0.35,,Transformers: Dark of the Moon-2011
Skyfall,2012,0.9,0.9199999999999999,819.0,"An ex-MI6 agent steals a hard drive with top secret information to carry out a vendetta on Bond's overseer, M. Bond must face his past in a bid to try and save M.",0.78,0.92,,Skyfall-2012
Transformers: Age of Extinction,2014,0.78,0.8,713.0,"The Autobots, a faction of robots from the planet Cybertron, are hunted down by an elite CIA black ops unit and a ruthless bounty hunter. They turn to a struggling inventor and his daughter for help.",0.5599999999999999,0.17,,Transformers: Age of Extinction-2014
The Dark Knight Rises,2012,0.87,0.9400000000000001,2288.0,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",0.8400000000000001,0.87,,The Dark Knight Rises-2012
Joker,2019,0.91,0.9,25788.0,"Arthur Fleck, a party clown, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of crime and chaos.",0.8400000000000001,0.68,0.59,Joker-2019
Star Wars: Episode IX - The Rise of Skywalker,2019,0.72,0.6799999999999999,39127.0,The revival of Emperor Palpatine resurrects the battle between the Resistance and the First Order while the Jedi's legendary conflict with the Sith Lord comes to a head.,0.65,0.52,,Star Wars: Episode IX - The Rise of Skywalker-2019
Toy Story 4,2019,0.87,0.76,2692.0,"Woody attempts to make Forky, a toy, suffering from existential crisis, realise his importance in the life of Bonnie, their owner. However, things become difficult when Gabby Gabby enters their lives.",0.77,0.97,,Toy Story 4-2019
Toy Story 3,2010,0.91,0.9199999999999999,750.0,"Before Andy leaves for college, his toys are mistakenly delivered to a day care centre. Woody convinces the other toys that they were not dumped and leads them on an expedition back home.",0.82,0.98,,Toy Story 3-2010
Pirates of the Caribbean: Dead Man's Chest,2006,0.92,0.9400000000000001,735.0,"Captain Jack Sparrow seeks the heart of Davy Jones, a mythical pirate, in order to avoid being enslaved to him. However, others, including his friends Will and Elizabeth, want it for their own gain.",0.73,0.53,,Pirates of the Caribbean: Dead Man's Chest-2006
The Lion King,1994,0.92,0.9400000000000001,1817.0,"As a cub, Simba is forced to leave the Pride Lands after his father Mufasa is murdered by his wicked uncle, Scar. Years later, he returns as a young lion to reclaim his throne.",0.85,0.93,0.88,The Lion King-1994
Rogue One: A Star Wars Story,2016,0.87,0.9,1809.0,"Jyn's father is forcibly taken by the Galactic Empire to help them complete the Death Star. When she grows up, she joins a group of resistance fighters who aim to steal the Empire's blueprints.",0.78,0.84,0.65,Rogue One: A Star Wars Story-2016
