Title,Year,Google_Users,Google user ratings,movie description
"My Country, My Parents",2021,"['82% liked this film', 'Google users']",[],"['Description', 'Set in four different periods, people from every social class forge ahead through the struggles of the times. The bonds between families reflect on the changing times and succession of the national spirit.']"
A Little Red Flower,2020,"['97% liked this film', 'Google users']",[],"['Description', 'A Little Red Flower is a 2020 Chinese romantic-drama film directed by Han Yan from a screenplay he co-wrote with Jinliang Han, Han Li, Jia Jia Wei, and Yu Yonggan.', 'Wikipedia']"
Me Before You,2016,"['91% liked this film', 'Google users']","['4.8', '4208 ratings']","['Description', 'After becoming unemployed, Louisa Clark is forced to accept one which requires her to take care of Will Traynor, a paralysed man. The two of them soon bond with each other.']"
Eat Pray Love,2010,"['83% liked this film', 'Google users']","['4.1', '453 ratings']","['Description', ""Elizabeth Gilbert's perfect world comes shattering down when she gets divorced. She then embarks on a journey across the world in an attempt to rediscover her true self.""]"
Shock Wave 2,2020,"['Description', 'A terrorist expert in explosives, whose gang has been dismantled, seeks revenge. He threatens to blow up a Hong Kong tunnel with hundreds of hostages. The policeman who has already beaten him once must stop him again.']",[],"['Release date', ': ', '24 December 2020 (', 'China', ')']"
The Island,2018,"['87% liked this film', 'Google users']",[],"['Description', ""News of a meteorite bound to strike Earth doesn't have much effect on Ma Jin's everyday life; he still gets up and goes to a job where he spends his time daydreaming of a romance with his colleague Shanshan, and of winning the lottery. But when this cataclysmic event occurs during a team-building tr"", 'ip, he finds himself shipwrecked on an island with an odd group of co-workers, and he has the winning lottery ticket in his pocket.', '…&nbsp;', 'MORE']"
Lost in Thailand,2012,"['88% liked this film', 'Google users']",[],"['Description', ""Xu and a rival business manager fight over a revolutionary new in-house technology for control of their company. Xu flies to Bangkok to make the deal and his eyes are opened to life's true priorities by Wang, a happy-go-lucky man.""]"
Chinese Doctors,2021,"['80% liked this film', 'Google users']",[],"['Description', 'Chinese Doctors is a 2021 Chinese disaster film directed by Andrew Lau and starring Zhang Hanyu, Yuan Quan, Zhu Yawen, and Li Chen. The film follows the story of frontline medical workers fought against the COVID-19 pandemic in Wuhan Jinyintan Hospital, Hubei, China.', 'Wikipedia']"
The White Storm 2: Drug Lords,2019,"['76% liked this film', 'Google users']",[],"['Description', ""Former gang member Yu Shin-Tin turned businessman and philanthropist is a on a mission to take down Hong Kong's most powerful drug lord. After losing his father to drug addiction, no price is too big as his offers a $100 million bounty for his head.""]"
Breakup Buddies,2014,"['76% liked this film', 'Google users']",[],"['Description', 'A former singer hits the road from Beijing to Dali with a friend after his wife cheats and files for divorce.']"
The Secret Life of Walter Mitty,2013,"['92% liked this film', 'Google users']","['4.8', '1331 ratings']","['Description', 'A man living a dull life dreams up romantic and action-filled scenarios in order to escape from monotony. When his own job is threatened, he sets out on a real romantic and action-packed journey.']"
Project Gutenberg,2018,"['90% liked this film', 'Google users']",[],"['Description', ""The Hong Kong police hunt for a counterfeiting gang led by a mastermind known as Painter. The gang is so skillful that it's almost impossible to distinguish between its counterfeit currency and real money. In an effort to find Painter's real identity, the police recruit artist Lee Man.""]"
Jian Bing Man,2015,"['84% liked this film', 'Google users']",[],"['Description', 'Jian Bing Man is a 2015 Chinese superhero parody film. It was directed, written and also starring Da Peng, Mabel Yuan and Liu Yan. The film was released on 17 July 2015.', 'Wikipedia']"
Jupiter Ascending,2015,"['69% liked this film', 'Google users']","['3.5', '496 ratings']","['Description', ""Jupiter Jones works as a servant and cleans other people's houses. Her life changes when Caine, an ex-military hunter, informs her that she must fight to protect the Earth from a destructive force.""]"
Knowing,2007,[],[],[]
From Vegas to Macau III,2016,"['77% liked this film', 'Google users']",[],"['Description', 'Cool seeks revenge on DOA organization for the death of his half-brother. With some help from a legendary gambler, he is hunting down the murderer.']"
Cliff Walkers,2021,"['82% liked this film', 'Google users']",[],"['Description', 'Trained in the Soviet Union, four special agents find themselves in constant danger after a traitor sells them out.']"
Daddy's Home 2,2017,"['91% liked this film', 'Google users']",[],"['Description', 'Dusty and Brad intend on providing their children with the perfect Christmas. However, their plans get ruined when their fathers decide to visit them simultaneously.']"
City Slickers,1991,"['85% liked this film', 'Google users']",[],"['Description', 'Three married urban males experience midlife crises. They decide to reignite their masculinity by taking a supervised cattle drive across south-western US. The journey is laden with twists and turns.']"
Dr. Dolittle 2,2001,"['82% liked this film', 'Google users']",[],"['Description', 'Dr Dolittle must help Archie, a bear, win over his lady-love. Whilst doing so, he must also protect a forest from encroachment and thereby save the habitat of the animals.']"
Operation Mekong,2016,"['85% liked this film', 'Google users']",[],"['Description', ""The Chinese government launches a daring operation to arrest a violent drug cartel following the discovery of thirteen Chinese crew members' bodies on two ships sailing through the Mekong River.""]"
