Title,Year,Google_Users,Google user ratings,movie description
Ice Age: Dawn of the Dinosaurs,2009,"['89% liked this film', 'Google users']","['4.6', '319 ratings']","['Description', 'Manny and Ellie are expecting their first child, while Diego plans to move out. Meanwhile, Sid invites trouble by stealing some dinosaur eggs, causing the others to come and save him.']"
Wonder Woman,2017,"['84% liked this film', 'Google users']","['4.1', '3411 ratings']","['Description', 'Princess Diana of an all-female Amazonian race rescues US pilot Steve. Upon learning of a war, she ventures into the world of men to stop Ares, the god of war, from destroying mankind.']"
No Time to Die,2021,"['89% liked this film', 'Google users']","['3.5', '17261 ratings']","['Description', 'James Bond is enjoying a tranquil life in Jamaica after leaving active service. However, his peace is short-lived as his old CIA friend, Felix Leiter, shows up and asks for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond on the trail', "" of a mysterious villain who's armed with a dangerous new technology."", '…&nbsp;', 'MORE']"
The Hunger Games: Mockingjay - Part 1,2014,"['86% liked this film', 'Google users']","['4.3', '489 ratings']","['Description', 'After putting a permanent end to the games, Katniss Everdeen, Gale, Finnick and Beetee join forces to save Peeta and a nation that she has inspired by her courage.']"
Up,2009,"['89% liked this film', 'Google users']","['4.8', '2506 ratings']","['Description', ""Carl, an old widower, goes off on an adventure in his flying house in search of Paradise Falls, his wife's dream destination.""]"
Detective Chinatown 3,2021,[],[],[]
Big Hero 6,2014,"['88% liked this film', 'Google users']","['4.6', '1637 ratings']","['Description', ""Hiro, a robotics prodigy, joins hands with Baymax in order to avenge his brother's death. They then team up with Hiro's friends to form a team of high-tech heroes.""]"
Fifty Shades of Grey,2015,"['Description', 'Anastasia fills in for her journalist friend and interviews Christian Grey, a businessman. They begin a relationship where she discovers that his sexual life is influenced by his tormented past.']",[],"['Release date', ': ', '12 February 2015 (', 'Australia', ')']"
Detective Chinatown 2,2018,"['91% liked this film', 'Google users']",[],"['Description', ""When the case of New York Chinatown godfather's missing son turns into a murder investigation, the detective duo Tang and Qin team up again to hunt down the killer, this time with some help from the International Detective Alliance.""]"
Godzilla,2014,"['81% liked this film', 'Google users']","['4.2', '1232 ratings']","['Description', 'Ford and his father, Joe, find evidence pointing to the existence of giant creatures. When the creatures, classified as MUTO, surface, Godzilla, an ancient behemoth, rises to fight them.']"
300,2007,[],[],[]
"My People, My Country",2019,"['84% liked this film', 'Google users']",[],"['Description', ""An anthology film consisting of seven short stories directed by several different directors, which are based on seven moments since the founding of People's Republic of China.""]"
"My People, My Homeland",2020,"['85% liked this film', 'Google users']",[],"['Description', 'In different parts of rural China, various people explore what makes their communities unique.']"
Kingsman: The Secret Service,2015,[],[],[]
Kingsman: The Golden Circle,2017,"['85% liked this film', 'Google users']","['4.3', '618 ratings']","['Description', 'After the enemies blow up their headquarters, the surviving agents of Kingsman band together with their American counterpart to take down a ruthless drug cartel.']"
Shark Tale,2004,"['74% liked this film', 'Google users']","['4.2', '701 ratings']","['Description', 'Oscar, a fast-talking fish, becomes an overnight sensation when he lies about having killed a shark. However, he soon begins to suffer the consequences of his deceptive actions.']"
What Women Want,2000,"['86% liked this film', 'Google users']","['4.2', '112 ratings']","['Description', ""Smooth-talking advertising executive Nick Marshall's life changes when an accident gives him the ability to hear what women are thinking.""]"
Hello Mr. Billionaire,2018,"['90% liked this film', 'Google users']",[],"['Description', ""A football goalkeeper accepts a task - to spend 1 billion yuan in 30 days. If he's successful, he will receive his uncle's inheritance. However, he's not allowed to tell anyone about the task, and he must not own any valuables when he is done.""]"
A Quiet Place,2018,[],[],[]
Never Say Die,2017,"['87% liked this film', 'Google users']",[],"['Description', ""A male boxer switches bodies by accident with a female journalist after the two are struck by lightning. Living out each other's lives in seemingly opposite roles, the two struggle to adjust, but eventually come to grips with each other, unearthing an even greater conspiracy within the boxing world.""]"
Crazy Alien,2019,"['76% liked this film', 'Google users']",[],"['Description', 'Crazy Alien is a 2019 Chinese science-fiction comedy film directed by Ning Hao and written by Sun Xiaohang, Wu Nan, Dong Runnian, Liu Xiaodan and Pan Yiran. The film stars Huang Bo and Shen Teng in the lead roles. It was released in China on February 5, 2019, the Chinese New Year.', 'Wikipedia']"
Taken 3,2015,[],[],[]
Lethal Weapon 3,1992,"['90% liked this film', 'Google users']",[],"['Description', 'Police officers Riggs and Murtaugh join forces in a bid to lay their hands on an arms dealer who is responsible for the theft of weapons from the Los Angeles Police Department.']"
The Last Airbender,2010,[],[],[]
The Ex-File 3: The Return of The Exes,2017,"['88% liked this film', 'Google users']",[],"['Description', 'Meng Yun is a young businessman with many ex-girlfriends, and he meets Xia Lu who has one formidable ex-boyfriend. Meng Yun and Xia Lu fall for each other, but their relationship is constantly tested by the untimely appearances of their ex-lovers.']"
What Lies Beneath,2000,"['85% liked this film', 'Google users']","['3.8', '105 ratings']","['Description', 'Claire moves with Norman to his old house, where she experiences disturbing supernatural activity. Soon, she discovers a shocking truth about her husband and Madison, his student who is dead.']"
The Bourne Supremacy,2004,"['92% liked this film', 'Google users']","['4.6', '193 ratings']","['Description', 'When he is falsely framed in a CIA operation, Jason Bourne is forced to return to his old ways as an assassin, in order to figure out why they are still after him.']"
Split,2017,[],[],[]
We're the Millers,2012,[],[],[]
Mojin: The Lost Legend,2015,"['79% liked this film', 'Google users']",[],"['Description', 'Three tomb raiders retire from their roles and move to New York to enjoy the rest of their lives. However, they are asked to resume duty in order to find out the reason behind the loss of a loved one.']"
The Village,2003,[],[],[]
Lost in Hong Kong,2015,"['81% liked this film', 'Google users']",[],"['Description', 'While on a sightseeing trip with his wife and brother-in-law, a man becomes involved in a murder investigation in Hong Kong.']"
Pegasus,2019,"['78% liked this film', 'Google users']",[],"['Description', 'After enduring a five-year suspension, a once-legendary race car driver returns to the track against a brand new generation of opponents.']"
Get Out,2016,[],[],[]
Crocodile Dundee II,1988,"['88% liked this film', 'Google users']",[],"['Description', ""Sue's ex-husband sends her photographs of a brutal crime. Desperate to destroy the evidence, the gangsters follow her to Australia, where Mick demonstrates his outback skills to keep her safe.""]"
The Heat,1996,[],[],[]
Goodbye Mr. Loser,2015,"['87% liked this film', 'Google users']",[],"['Description', 'A middle-aged loser is transported back to his high school years to fix his mistakes.']"
Lethal Weapon 2,1989,"['92% liked this film', 'Google users']",[],"['Description', 'South African smugglers find themselves being hounded and harassed by Riggs and Murtaugh, two mismatched Los Angeles police officers. However, the South Africans are protected by diplomatic immunity, and so the two are assigned to witness-protection duty in an attempt by their captain to keep his jo', 'b. It is only when this witness reveals to them that he has already dealt with the smugglers that the trouble really starts.', '…&nbsp;', 'MORE']"
Youth,2017,"['89% liked this film', 'Google users']",[],"['Description', ""When Xiaoping joins the military, delicate dreams are dashed by the events of a China undergoing revolution. The devastating Sino-Vietnamese War crashes into 1970s China, changing the lives of the army's young new recruits forever.""]"
Fahrenheit 9/11,2004,"['82% liked this film', 'Google users']","['4.4', '63 ratings']","['Description', ""Michael Moore's political documentary uses humor and connect-the-dots investigative journalism to question the Bush administration's motives for wars in Iraq and Afghanistan. The film argues that President George W. Bush and his inner circle used the media to further an agenda that exploited the 9/1"", '1 attacks. The close ties of the Saudis to the Bush family, the cynical profiteering of corporations and a political elite beholden to special interests are all cited as elements of a corrupt system.', '…&nbsp;', 'MORE']"
